dif_lifespan,length,exercise,smoking,alcohol,sugar
-3.3999999999999915,168.0,2.0,17.8,3.9,40.4
-0.6999999999999886,205.0,3.7,3.0,4.8,24.0
-1.9000000000000057,185.0,3.7,10.9,4.0,29.6
-1.3999999999999915,186.0,3.2,10.7,4.8,39.2
-3.5999999999999943,184.0,2.3,15.4,1.3,6.8
-5.3999999999999915,164.0,4.3,19.8,4.5,32.0
-0.5999999999999943,169.0,2.7,9.1,4.9,19.6
-8.100000000000009,178.0,0.2,13.1,2.1,41.2
-1.7999999999999972,185.0,1.5,0.5,5.1,35.2
-2.0,171.0,1.3,1.8,0.4,28.4
-3.3000000000000114,173.0,2.7,21.0,1.7,24.0
-0.5,206.0,2.1,1.4,3.9,28.0
-0.20000000000000284,171.0,3.9,0.4,5.1,19.6
-8.300000000000011,166.0,0.1,18.1,4.7,24.0
-2.799999999999997,196.0,2.0,10.7,0.6,29.6
-2.9000000000000057,173.0,1.5,5.4,4.2,15.6
-3.5,210.0,2.4,11.0,4.2,8.4
-5.0,179.0,2.3,20.3,1.4,19.6
-3.0,205.0,1.2,7.6,4.6,20.8
-1.7999999999999972,181.0,2.2,3.0,0.5,42.8
-0.7999999999999972,165.0,3.1,5.8,5.3,32.0
-4.200000000000003,170.0,1.2,11.7,3.8,47.2
-3.4000000000000057,177.0,1.7,11.6,2.1,10.0
-1.6999999999999886,198.0,2.5,6.1,4.5,33.6
-2.8999999999999915,194.0,1.8,15.5,0.9,31.2
3.5999999999999943,178.0,4.3,0.8,0.5,19.6
-1.9000000000000057,189.0,2.6,9.6,4.8,32.0
-4.199999999999989,191.0,2.1,20.0,0.4,28.4
-2.299999999999997,173.0,1.7,11.6,1.3,18.8
0.0,188.0,1.8,0.1,4.6,27.6
0.09999999999999432,198.0,1.4,1.2,1.7,19.2
-3.5999999999999943,190.0,1.4,20.6,0.3,27.2
-2.0,179.0,2.2,11.6,3.1,32.4
-0.9000000000000057,191.0,3.5,8.0,1.3,18.8
-3.5999999999999943,193.0,1.8,18.0,1.7,24.4
-0.4000000000000057,184.0,1.4,6.5,2.8,29.2
-4.1000000000000085,172.0,0.2,11.0,3.6,34.0
-4.599999999999994,198.0,1.7,16.6,3.9,17.2
-4.299999999999997,194.0,3.4,17.5,3.8,36.0
-1.5,188.0,1.8,4.1,3.5,27.2
-1.8999999999999915,181.0,3.4,5.0,4.2,45.2
-0.10000000000000853,210.0,1.6,2.3,0.1,50.8
-1.1000000000000085,184.0,2.9,11.0,0.8,24.4
-1.6000000000000085,177.0,2.9,21.9,0.6,18.8
-5.400000000000006,182.0,1.5,18.7,4.5,47.2
-2.8999999999999915,171.0,1.6,14.7,0.3,42.4
-1.4000000000000057,184.0,1.9,1.4,4.5,13.6
0.7000000000000028,174.0,3.2,1.9,4.7,22.4
-10.100000000000001,174.0,1.7,20.1,3.0,20.8
0.09999999999999432,182.0,4.2,0.2,0.4,41.6
-5.5,191.0,2.7,17.3,0.5,26.0
-7.0,184.0,0.8,21.6,4.3,34.8
0.7999999999999972,160.0,4.7,15.1,0.6,40.4
-0.5,192.0,3.4,6.1,2.6,32.0
-4.400000000000006,163.0,1.4,16.8,4.8,14.4
-1.5,178.0,0.9,7.5,1.2,28.0
-3.4000000000000057,173.0,1.7,8.9,0.4,19.2
1.5999999999999943,171.0,4.0,0.6,0.7,31.6
-4.0,209.0,1.5,16.6,0.5,28.4
-0.5999999999999943,169.0,1.7,0.2,1.0,24.8
-5.200000000000003,185.0,2.3,19.1,0.9,41.6
-1.2000000000000028,205.0,2.8,6.9,5.3,17.6
-3.5,177.0,1.3,9.6,5.3,28.4
-10.599999999999994,198.0,1.7,19.4,4.6,28.4
1.7999999999999972,176.0,5.4,5.0,1.5,22.4
1.0999999999999943,198.0,2.4,3.4,5.4,12.8
-3.5999999999999943,202.0,1.4,18.7,0.9,32.0
-1.0,181.0,1.8,4.5,0.3,53.2
-2.5,196.0,2.0,12.4,3.9,20.4
-2.799999999999997,172.0,3.1,9.6,3.5,42.0
-1.2999999999999972,178.0,3.2,13.8,0.8,27.2
-0.20000000000000284,184.0,1.5,1.1,0.5,23.2
-0.20000000000000284,172.0,3.0,3.7,5.0,36.8
-1.7999999999999972,171.0,1.3,7.6,0.3,9.2
-3.4000000000000057,188.0,1.3,14.1,4.3,26.8
-4.1000000000000085,192.0,2.6,18.4,5.1,25.2
0.7000000000000028,197.0,3.6,1.0,4.1,12.8
-1.5999999999999943,200.0,1.7,10.1,2.7,9.2
0.6000000000000085,191.0,5.3,12.7,3.6,14.8
-5.1000000000000085,187.0,2.0,16.1,4.2,32.8
-3.4000000000000057,163.0,4.7,12.8,0.7,28.0
-6.099999999999994,167.0,3.3,20.2,0.4,24.8
0.20000000000000284,199.0,1.8,0.1,1.1,12.8
-5.099999999999994,170.0,3.5,18.6,1.0,18.0
-4.0,179.0,2.1,11.8,0.9,3.2
-3.799999999999997,203.0,2.5,17.9,0.8,24.8
-6.5,192.0,1.6,21.6,0.2,34.8
-1.9000000000000057,191.0,2.6,10.7,0.1,28.0
-4.5,179.0,2.6,21.6,0.2,17.6
-0.09999999999999432,173.0,1.9,0.2,5.0,35.6
-2.5999999999999943,201.0,2.3,12.2,3.5,47.6
-8.099999999999994,209.0,0.5,20.7,3.8,9.6
-3.0,184.0,2.4,15.3,0.9,36.4
-4.599999999999994,187.0,2.3,19.9,0.5,30.8
-3.6000000000000085,175.0,1.8,17.5,0.4,24.0
-4.599999999999994,191.0,1.9,13.0,5.3,33.2
-3.0999999999999943,178.0,0.7,9.9,0.9,48.8
-4.700000000000003,175.0,3.3,19.0,1.7,36.4
-2.3999999999999986,190.0,1.0,7.4,2.3,18.0
-4.599999999999994,193.0,2.5,15.4,4.2,22.8
-1.1000000000000085,204.0,1.8,6.3,4.2,11.2
-1.5,183.0,4.6,11.3,0.4,28.8
-0.7000000000000028,175.0,1.8,0.0,0.8,16.0
-4.0,172.0,2.3,5.4,0.7,38.8
1.2999999999999972,206.0,2.1,3.0,0.4,10.4
-2.5999999999999943,166.0,3.1,18.1,0.2,14.4
-1.9000000000000057,177.0,3.7,14.1,3.2,12.4
2.6000000000000085,182.0,3.9,0.9,0.2,12.4
-2.5999999999999943,193.0,2.1,8.2,0.9,36.0
-2.5,175.0,2.3,13.2,1.7,47.2
2.0999999999999943,177.0,4.2,4.5,0.7,9.2
0.6000000000000085,200.0,1.8,0.4,1.0,37.2
-5.200000000000003,181.0,3.7,16.8,5.3,9.2
-2.799999999999997,175.0,0.5,9.8,4.1,11.6
0.5999999999999943,185.0,3.1,4.4,3.7,48.8
-2.8999999999999915,181.0,1.5,12.2,0.7,22.8
0.7000000000000028,179.0,3.6,4.5,0.4,11.2
-3.9000000000000057,196.0,1.9,11.3,1.5,33.2
-3.0,191.0,2.8,15.3,0.4,4.8
-4.099999999999994,183.0,1.0,13.9,4.9,35.2
-1.9000000000000057,172.0,2.1,12.5,2.4,34.4
2.200000000000003,189.0,4.5,0.1,1.0,21.6
-3.1000000000000085,201.0,2.3,16.4,0.7,28.0
-2.700000000000003,188.0,0.8,0.1,4.6,32.0
-0.7999999999999972,191.0,4.5,7.6,3.9,36.4
-7.1000000000000085,166.0,1.4,19.5,1.7,31.6
-3.799999999999997,170.0,1.1,15.8,1.6,18.0
-5.700000000000003,168.0,0.7,17.7,0.3,40.0
1.1000000000000085,166.0,2.7,1.4,2.2,23.6
-3.0999999999999943,199.0,1.5,10.5,4.2,15.6
-6.5,179.0,2.9,17.9,4.0,14.8
-3.200000000000003,194.0,1.4,17.1,0.5,46.4
-1.7999999999999972,199.0,2.8,8.5,2.9,31.2
1.3999999999999915,186.0,2.4,0.8,0.4,20.4
-1.9000000000000057,192.0,2.6,9.6,2.0,37.2
-1.4000000000000057,174.0,1.8,2.6,5.1,16.4
0.29999999999999716,180.0,3.4,5.9,1.0,14.4
-1.7000000000000028,178.0,1.4,7.4,2.4,22.4
-1.9000000000000057,172.0,4.3,5.8,4.3,19.2
-3.5999999999999943,187.0,2.9,20.6,0.3,16.8
-4.599999999999994,181.0,2.4,13.3,4.4,14.0
-3.0,184.0,2.3,11.7,2.9,22.4
-2.299999999999997,175.0,3.1,13.9,0.8,41.6
-2.5,181.0,1.6,7.6,2.4,34.8
0.7000000000000028,170.0,1.3,0.1,2.8,10.0
-4.3999999999999915,186.0,1.1,18.1,0.5,30.4
0.7000000000000028,171.0,4.5,0.9,5.6,16.4
-5.0,169.0,3.1,16.4,5.2,26.4
2.799999999999997,187.0,4.4,1.2,5.2,12.4
-1.0,189.0,3.4,14.8,0.6,32.0
-0.5,181.0,1.5,2.0,1.1,44.8
-4.400000000000006,176.0,2.4,17.6,0.6,44.8
-5.0,181.0,1.2,9.4,5.6,12.4
-1.1000000000000085,187.0,1.2,4.5,2.1,23.6
-3.4000000000000057,211.0,2.5,19.3,1.5,36.0
0.7000000000000028,187.0,3.7,3.3,3.1,31.2
-3.1000000000000085,207.0,1.5,10.6,5.4,25.2
1.5,195.0,2.0,0.2,1.1,8.8
-4.099999999999994,185.0,2.7,19.8,0.7,33.6
0.29999999999999716,164.0,3.0,2.4,3.9,12.8
-3.1000000000000085,164.0,1.9,5.1,3.7,25.6
-0.29999999999999716,199.0,2.3,4.3,1.1,33.6
-3.299999999999997,187.0,2.0,13.0,0.2,12.4
-5.8999999999999915,187.0,1.7,20.7,0.4,14.4
0.7999999999999972,175.0,4.1,12.0,3.2,24.8
0.09999999999999432,183.0,2.2,0.5,1.9,30.4
-0.8999999999999915,196.0,2.7,4.5,0.5,30.4
-1.0,192.0,4.5,17.1,0.8,14.0
-4.0,187.0,2.6,16.9,3.9,32.0
-2.0,184.0,1.1,5.9,0.5,7.2
-5.0,172.0,1.0,17.5,0.8,12.0
-1.3999999999999915,186.0,2.2,9.7,1.4,16.0
-3.700000000000003,155.0,1.9,9.0,3.5,12.8
-1.7999999999999972,191.0,0.9,7.4,4.2,31.2
-6.200000000000003,169.0,1.5,10.2,5.2,6.4
-1.7000000000000028,184.0,3.6,6.6,2.5,32.8
-2.299999999999997,202.0,1.9,11.2,1.7,13.6
-2.799999999999997,185.0,2.8,17.7,0.1,25.2
-6.400000000000006,180.0,2.1,19.8,0.8,27.6
-3.799999999999997,172.0,1.4,6.9,5.7,33.2
-0.29999999999999716,186.0,1.7,2.2,0.8,33.6
-3.0,191.0,3.2,16.6,3.5,10.0
-1.5,177.0,2.3,7.5,0.6,22.0
-1.8999999999999915,197.0,1.3,3.8,4.4,28.4
-2.799999999999997,156.0,0.5,2.4,5.3,20.8
0.9000000000000057,189.0,2.8,2.0,4.9,15.2
-3.200000000000003,196.0,2.6,18.1,0.1,18.0
1.4000000000000057,186.0,2.8,1.5,5.1,20.0
-6.400000000000006,177.0,2.1,22.1,3.6,12.4
-4.700000000000003,189.0,0.2,14.6,2.1,30.0
-0.7999999999999972,205.0,1.2,4.3,1.1,35.2
1.3999999999999915,196.0,3.1,2.5,4.3,34.8
-4.0,164.0,2.6,18.5,1.3,11.6
0.3999999999999915,203.0,3.3,6.8,0.0,36.8
-2.9000000000000057,173.0,1.8,16.0,1.0,22.8
-1.3999999999999915,192.0,1.1,2.1,2.8,21.6
-4.299999999999997,183.0,3.6,19.9,0.4,24.8
-1.2999999999999972,168.0,2.0,4.5,1.9,36.0
-3.6000000000000085,200.0,1.3,7.9,3.7,16.4
-2.3999999999999915,166.0,2.2,2.0,3.4,9.2
-3.4000000000000057,182.0,0.4,11.7,1.0,13.2
-3.799999999999997,180.0,0.8,4.4,4.6,16.8
-0.5999999999999943,199.0,3.1,7.8,2.2,25.6
-7.799999999999997,199.0,1.1,17.4,5.4,15.2
-2.5,187.0,2.1,14.2,1.4,31.6
-2.8999999999999915,187.0,1.0,5.2,4.3,18.0
-2.1000000000000085,181.0,1.1,4.5,4.4,16.8
-5.599999999999994,161.0,2.8,19.0,1.1,34.4
-1.0,179.0,1.7,9.4,0.4,22.8
-4.400000000000006,211.0,1.1,17.7,0.4,20.8
-1.2000000000000028,171.0,2.1,3.8,0.1,40.4
0.7000000000000028,198.0,3.8,17.6,0.3,22.8
-1.5999999999999943,191.0,4.0,12.9,0.2,27.2
-4.200000000000003,180.0,1.8,16.6,1.6,13.2
-0.09999999999999432,188.0,3.7,12.7,0.7,16.0
0.0,179.0,2.1,4.0,4.3,15.2
-5.800000000000004,170.0,2.9,20.6,0.5,22.4
-2.0999999999999943,200.0,2.3,6.4,5.5,37.6
0.10000000000000853,172.0,4.9,18.2,3.2,34.8
-3.0,191.0,3.3,21.6,2.9,25.6
0.7999999999999972,187.0,2.1,1.1,0.4,13.2
-2.0,179.0,5.3,14.7,2.2,15.6
0.0,166.0,2.7,4.5,4.4,11.2
-3.8000000000000114,170.0,3.9,19.5,0.5,38.8
-1.0,190.0,1.7,0.5,0.7,38.0
-0.8999999999999915,205.0,4.1,12.2,4.6,27.2
-5.0,175.0,1.7,14.4,5.0,21.6
-3.700000000000003,180.0,1.9,18.8,0.8,16.8
-3.299999999999997,173.0,0.4,17.6,1.2,37.2
-2.200000000000003,173.0,0.9,10.5,0.6,24.0
-2.1000000000000085,196.0,4.1,14.4,4.7,10.4
-3.5,158.0,1.0,5.3,0.3,15.2
-6.700000000000003,172.0,1.2,16.2,2.1,16.4
0.7000000000000028,204.0,3.3,2.8,0.2,20.0
-5.299999999999997,182.0,2.1,17.5,4.7,24.0
0.0,173.0,3.3,6.7,1.5,16.0
1.5,207.0,3.4,0.7,2.2,18.4
-2.3999999999999915,173.0,2.7,10.6,4.8,40.4
-1.5,179.0,1.7,4.3,5.2,8.0
-0.4000000000000057,179.0,1.6,2.4,0.8,39.2
-1.5,175.0,1.1,8.3,3.6,8.0
1.5999999999999943,183.0,3.2,0.9,0.5,40.0
-6.3999999999999915,176.0,1.9,14.8,5.0,43.2
-0.09999999999999432,195.0,1.9,3.1,4.1,18.4
-2.5,186.0,3.5,16.7,1.3,34.8
-2.200000000000003,188.0,5.3,14.9,5.0,9.6
-2.5999999999999943,198.0,3.9,16.2,0.9,38.0
-0.7999999999999972,190.0,2.6,14.0,0.6,29.6
-2.799999999999997,175.0,3.0,1.4,5.6,36.0
-1.2000000000000028,197.0,3.7,9.5,1.0,37.6
-2.799999999999997,195.0,2.4,4.9,5.7,33.2
1.6000000000000085,174.0,2.4,0.3,2.1,14.8
-0.6000000000000085,205.0,1.3,5.1,3.5,25.2
-1.5,184.0,1.4,6.2,0.7,10.4
-1.6999999999999886,188.0,5.2,20.2,0.3,16.0
-1.2999999999999972,177.0,3.2,3.9,3.2,42.8
0.09999999999999432,182.0,4.2,9.5,0.4,27.6
-4.400000000000006,180.0,3.6,17.4,1.9,54.4
-0.7000000000000028,180.0,3.6,0.7,2.4,24.4
-2.5,188.0,2.8,13.3,4.5,19.2
2.0999999999999943,175.0,3.4,0.9,3.5,37.2
-4.6000000000000085,171.0,1.8,18.5,0.3,10.8
1.3999999999999915,189.0,2.8,0.4,0.7,37.2
-0.20000000000000284,178.0,1.9,2.6,3.9,28.4
-1.2999999999999972,198.0,0.7,2.7,1.3,23.2
-4.700000000000003,192.0,2.6,14.2,2.0,46.4
-6.199999999999989,184.0,0.2,12.7,2.8,33.6
-0.5999999999999943,187.0,0.8,3.2,0.3,17.6
-0.7999999999999972,187.0,2.3,5.8,1.2,10.8
-1.2000000000000028,192.0,0.5,4.7,1.3,15.2
-4.799999999999997,178.0,1.6,17.6,1.2,31.2
-1.3999999999999915,208.0,0.6,4.4,0.4,8.4
1.2999999999999972,185.0,5.1,14.9,0.4,11.2
3.700000000000003,188.0,5.4,4.3,1.3,9.2
-2.5999999999999943,165.0,3.7,18.0,1.1,25.6
0.10000000000000853,199.0,1.6,2.9,0.4,12.0
-1.2000000000000028,165.0,3.6,15.0,0.4,26.4
-0.7000000000000028,181.0,1.4,7.7,0.5,8.0
-3.4000000000000057,176.0,4.0,14.0,4.4,14.8
-3.0999999999999943,184.0,1.7,15.3,0.3,7.2
-2.200000000000003,163.0,4.2,18.0,4.0,22.0
-3.6000000000000085,176.0,1.0,7.7,4.7,16.8
-4.599999999999994,192.0,2.6,16.7,1.2,30.8
-1.0,195.0,4.7,21.7,3.0,34.8
2.3999999999999915,194.0,2.8,0.2,0.6,21.2
-0.9000000000000057,195.0,4.8,16.4,5.2,28.4
-4.0,157.0,3.5,21.5,1.5,12.4
-0.20000000000000284,181.0,0.5,0.0,0.4,15.2
-2.0999999999999943,170.0,2.1,8.4,4.3,34.0
-5.3999999999999915,179.0,2.1,20.3,2.3,42.8
-2.9000000000000057,179.0,3.4,17.2,0.9,43.2
-3.3000000000000114,202.0,3.5,20.1,3.9,39.6
-2.0,180.0,0.5,2.9,4.0,54.0
-4.6000000000000085,191.0,3.7,18.9,5.6,14.0
2.5999999999999943,192.0,3.4,0.4,0.3,22.0
-1.2000000000000028,212.0,0.5,4.2,3.4,15.6
-3.5,178.0,2.1,21.8,4.1,23.2
-3.4000000000000057,167.0,5.4,16.5,5.0,32.8
-1.7000000000000028,181.0,3.2,6.1,0.4,38.0
0.10000000000000853,175.0,2.8,16.1,0.7,16.4
1.2000000000000028,207.0,3.9,10.4,2.2,10.0
-5.700000000000003,206.0,3.4,20.0,3.3,30.0
0.10000000000000853,182.0,4.1,6.1,5.4,30.4
-2.4000000000000057,175.0,1.7,8.0,1.0,8.4
-2.6000000000000085,189.0,2.3,12.3,0.4,18.0
-5.6000000000000085,170.0,1.8,17.8,2.2,55.2
-2.700000000000003,174.0,2.6,6.2,4.8,8.4
-2.799999999999997,197.0,4.6,20.1,0.4,14.0
1.2999999999999972,195.0,4.0,0.2,0.8,35.2
-2.9000000000000057,171.0,1.1,4.2,5.1,23.2
-5.200000000000003,171.0,1.3,18.8,0.6,4.4
0.3999999999999915,207.0,1.7,6.3,0.6,44.0
-2.200000000000003,176.0,3.5,13.0,0.6,23.6
-0.5,201.0,1.3,3.8,0.2,27.2
-5.200000000000003,180.0,3.4,17.2,5.3,22.0
0.30000000000001137,180.0,2.5,4.5,0.6,19.6
0.6000000000000085,192.0,2.0,1.4,0.6,20.8
-0.7999999999999972,178.0,0.8,0.9,0.6,24.0
1.2000000000000028,163.0,3.3,8.4,1.2,13.6
-6.700000000000003,164.0,4.5,13.8,0.3,25.6
-0.7999999999999972,197.0,2.5,4.5,4.3,29.2
-4.5,173.0,2.0,20.7,0.5,30.4
-0.9000000000000057,189.0,3.9,9.8,4.3,26.8
-0.19999999999998863,182.0,2.0,0.1,3.7,16.4
0.7999999999999972,187.0,2.6,0.2,1.3,18.4
-0.4000000000000057,178.0,5.3,11.8,0.7,28.4
1.2000000000000028,181.0,2.9,2.3,0.9,23.2
-0.5,192.0,2.8,2.6,3.6,36.0
-9.0,187.0,0.2,19.1,4.8,24.4
0.20000000000000284,191.0,1.8,0.2,3.5,10.4
-1.6000000000000085,197.0,1.6,17.3,3.4,34.4
-3.0999999999999943,198.0,3.8,16.3,1.9,23.6
0.3999999999999915,204.0,1.4,0.8,0.9,10.4
-4.799999999999997,211.0,2.7,18.9,2.0,16.8
-4.299999999999997,193.0,1.6,19.4,3.7,16.8
-0.7000000000000028,182.0,0.7,3.9,0.3,32.8
1.0,192.0,3.2,0.2,0.2,14.8
-1.2999999999999972,194.0,1.8,9.4,4.2,24.8
-3.799999999999997,193.0,0.1,10.5,4.6,32.4
-1.0,192.0,2.8,17.4,0.3,20.4
1.2000000000000028,173.0,2.3,1.4,0.6,17.6
1.5,187.0,4.8,0.8,0.7,28.0
-0.3999999999999915,163.0,1.8,0.1,4.8,33.6
-3.8999999999999915,164.0,1.9,13.1,3.8,4.4
0.3999999999999915,186.0,2.4,1.6,5.9,21.6
-1.0,171.0,1.5,0.1,5.2,29.6
-4.400000000000006,193.0,3.2,18.2,0.1,15.2
-1.7000000000000028,207.0,2.2,11.4,0.5,35.6
-5.800000000000011,162.0,1.3,17.4,0.7,25.6
-0.8000000000000114,176.0,1.4,2.0,1.0,18.0
-0.10000000000000853,191.0,3.2,8.6,0.2,14.4
-0.7999999999999972,190.0,3.4,6.5,4.8,17.6
-1.7999999999999972,178.0,1.5,1.5,1.9,28.8
0.09999999999999432,186.0,2.1,1.6,2.1,26.8
-3.0,157.0,1.8,6.1,4.5,21.6
-2.0,195.0,1.6,6.8,4.0,41.6
-4.699999999999989,190.0,1.8,16.6,2.6,17.2
1.2999999999999972,186.0,4.6,17.1,0.9,32.8
0.19999999999998863,187.0,3.8,5.5,0.7,40.8
-2.200000000000003,187.0,1.1,5.0,0.5,23.6
-1.2999999999999972,173.0,2.9,10.4,0.5,22.8
-4.5,184.0,2.3,17.1,1.6,42.0
-1.0,192.0,1.0,4.4,0.1,14.0
-7.1000000000000085,181.0,3.1,17.0,4.6,10.4
-3.3999999999999915,185.0,2.6,22.1,1.8,17.2
2.200000000000003,204.0,4.5,0.3,4.2,51.6
-2.5999999999999943,172.0,2.5,15.2,1.2,10.8
-5.700000000000003,182.0,2.4,15.4,0.8,26.4
-3.1000000000000085,179.0,2.2,16.9,4.7,44.0
-4.299999999999997,205.0,3.7,15.6,1.2,33.6
-5.700000000000003,174.0,1.7,9.7,0.6,28.4
-0.20000000000000284,184.0,1.4,1.7,1.7,16.8
-3.3000000000000114,161.0,1.8,12.5,4.2,20.8
0.6000000000000085,198.0,1.7,1.0,0.6,36.0
-2.700000000000003,180.0,2.0,10.7,1.0,45.2
-2.6000000000000085,170.0,1.7,7.7,2.8,19.2
-5.299999999999997,200.0,0.2,16.9,4.2,25.6
-4.400000000000006,177.0,1.5,21.7,0.1,13.6
-3.8000000000000043,187.0,1.5,13.8,5.9,28.0
-5.799999999999997,167.0,1.7,14.3,4.0,38.8
-0.29999999999999716,183.0,1.4,0.1,0.8,25.6
1.4000000000000057,197.0,4.5,0.1,4.0,50.4
-3.200000000000003,161.0,1.2,16.1,1.4,44.8
0.6999999999999886,181.0,1.9,0.2,0.7,6.8
-1.9000000000000057,169.0,2.1,2.8,1.2,6.4
-6.200000000000003,187.0,1.7,21.1,5.2,14.8
-3.5999999999999943,212.0,0.5,14.3,3.2,14.0
3.0,189.0,4.2,6.9,2.4,38.0
-2.700000000000003,209.0,3.4,19.7,0.4,33.6
-0.5999999999999943,169.0,1.8,0.0,5.1,37.6
-0.7999999999999972,188.0,1.7,0.6,4.7,26.0
-1.5,183.0,3.2,11.8,0.6,9.6
-3.3999999999999915,164.0,2.7,1.1,1.5,33.6
-0.5999999999999943,185.0,1.3,0.1,3.8,34.4
-2.5999999999999943,185.0,1.5,18.6,0.8,5.2
0.7999999999999972,185.0,2.5,0.2,3.7,3.6
-6.900000000000006,170.0,3.2,20.8,0.1,21.2
1.5,187.0,2.2,3.0,0.5,26.8
-0.5,180.0,2.2,5.8,0.9,24.8
-3.200000000000003,191.0,1.3,13.7,0.6,16.4
0.30000000000001137,193.0,3.9,4.0,0.8,36.0
2.0,194.0,2.8,1.4,0.2,18.0
-4.700000000000003,192.0,1.1,21.6,1.4,28.0
-1.0,178.0,2.0,0.8,0.4,27.2
-0.3999999999999915,168.0,3.4,7.7,0.8,26.0
-5.5,173.0,2.0,21.1,0.7,25.6
2.3000000000000114,184.0,4.3,4.4,1.8,15.2
-0.09999999999999432,206.0,1.5,0.4,1.9,20.8
-2.700000000000003,182.0,2.3,17.2,0.3,21.2
-2.5999999999999943,189.0,1.7,17.8,0.4,29.2
-1.0,184.0,1.1,2.3,0.5,27.2
-1.7000000000000028,181.0,1.8,5.3,2.2,23.2
1.5999999999999943,179.0,4.7,15.5,0.2,15.2
2.4000000000000057,189.0,3.0,1.0,2.3,5.2
-2.700000000000003,187.0,0.7,9.1,0.8,42.0
