lifespan,genetic,mass,exercise,smoking,alcohol,sugar
71.9,75.7,60.8,2.5,17.9,0.8,24.8
85.6,92.1,83.3,1.6,21.6,0.2,34.8
71.1,73.0,82.9,2.6,10.7,0.1,28.0
72.5,77.0,138.8,2.6,21.6,0.2,17.6
81.0,81.1,53.9,1.9,0.2,5.0,35.6
90.0,92.6,108.7,2.3,12.2,3.5,47.6
77.4,85.5,74.6,0.5,20.7,3.8,9.6
77.0,80.0,118.0,2.4,15.3,0.9,36.4
80.0,84.6,62.3,2.3,19.9,0.5,30.8
72.6,76.2,59.1,1.8,17.5,0.4,24.0
79.4,84.0,69.0,1.9,13.0,5.3,33.2
82.2,85.3,103.3,0.7,9.9,0.9,48.8
72.5,77.2,106.5,3.3,19.0,1.7,36.4
62.9,65.3,50.5,1.0,7.4,2.3,18.0
75.5,80.1,79.0,2.5,15.4,4.2,22.8
82.6,83.7,129.2,1.8,6.3,4.2,11.2
83.3,84.8,108.4,4.6,11.3,0.4,28.8
92.0,92.7,122.6,1.8,0.0,0.8,16.0
75.8,79.8,148.5,2.3,5.4,0.7,38.8
77.2,75.9,83.8,2.1,3.0,0.4,10.4
82.4,85.0,90.1,3.1,18.1,0.2,14.4
89.6,91.5,107.1,3.7,14.1,3.2,12.4
88.7,86.1,66.3,3.9,0.9,0.2,12.4
74.7,77.3,114.8,2.1,8.2,0.9,36.0
78.8,81.3,50.4,2.3,13.2,1.7,47.2
85.6,83.5,63.8,4.2,4.5,0.7,9.2
84.2,83.6,107.2,1.8,0.4,1.0,37.2
73.6,78.8,94.4,3.7,16.8,5.3,9.2
78.3,81.1,51.4,0.5,9.8,4.1,11.6
78.6,78.0,72.9,3.1,4.4,3.7,48.8
64.2,67.1,98.8,1.5,12.2,0.7,22.8
79.3,78.6,52.9,3.6,4.5,0.4,11.2
81.6,85.5,131.7,1.9,11.3,1.5,33.2
80.2,83.2,73.5,2.8,15.3,0.4,4.8
86.9,91.0,63.3,1.0,13.9,4.9,35.2
76.3,78.2,76.0,2.1,12.5,2.4,34.4
79.5,77.3,128.9,4.5,0.1,1.0,21.6
75.6,78.7,68.3,2.3,16.4,0.7,28.0
95.8,98.5,105.9,0.8,0.1,4.6,32.0
78.5,79.3,61.8,4.5,7.6,3.9,36.4
65.3,72.4,125.2,1.4,19.5,1.7,31.6
77.0,80.8,94.3,1.1,15.8,1.6,18.0
72.1,77.8,112.1,0.7,17.7,0.3,40.0
92.2,91.1,64.2,2.7,1.4,2.2,23.6
71.9,75.0,136.9,1.5,10.5,4.2,15.6
72.8,79.3,68.2,2.9,17.9,4.0,14.8
73.1,76.3,70.6,1.4,17.1,0.5,46.4
73.5,75.3,105.8,2.8,8.5,2.9,31.2
69.6,68.2,79.3,2.4,0.8,0.4,20.4
85.8,87.7,91.2,2.6,9.6,2.0,37.2
62.8,64.2,101.9,1.8,2.6,5.1,16.4
75.6,75.3,84.3,3.4,5.9,1.0,14.4
72.3,74.0,68.4,1.4,7.4,2.4,22.4
78.8,80.7,138.2,4.3,5.8,4.3,19.2
78.2,81.8,57.9,2.9,20.6,0.3,16.8
77.2,81.8,118.6,2.4,13.3,4.4,14.0
78.7,81.7,79.0,2.3,11.7,2.9,22.4
77.8,80.1,110.0,3.1,13.9,0.8,41.6
79.2,81.7,94.4,1.6,7.6,2.4,34.8
87.2,86.5,83.6,1.3,0.1,2.8,10.0
91.9,96.3,83.9,1.1,18.1,0.5,30.4
83.8,83.1,103.5,4.5,0.9,5.6,16.4
68.1,73.1,79.1,3.1,16.4,5.2,26.4
81.6,78.8,69.9,4.4,1.2,5.2,12.4
81.2,82.2,90.3,3.4,14.8,0.6,32.0
90.8,91.3,88.0,1.5,2.0,1.1,44.8
71.5,75.9,89.2,2.4,17.6,0.6,44.8
76.8,81.8,156.3,1.2,9.4,5.6,12.4
79.1,80.2,66.5,1.2,4.5,2.1,23.6
71.5,74.9,113.0,2.5,19.3,1.5,36.0
95.4,94.7,57.8,3.7,3.3,3.1,31.2
69.1,72.2,113.0,1.5,10.6,5.4,25.2
85.6,84.1,68.6,2.0,0.2,1.1,8.8
76.9,81.0,67.7,2.7,19.8,0.7,33.6
92.2,91.9,75.0,3.0,2.4,3.9,12.8
86.3,89.4,121.6,1.9,5.1,3.7,25.6
83.5,83.8,99.2,2.3,4.3,1.1,33.6
77.0,80.3,105.6,2.0,13.0,0.2,12.4
69.4,75.3,110.9,1.7,20.7,0.4,14.4
73.1,72.3,69.4,4.1,12.0,3.2,24.8
84.3,84.2,88.8,2.2,0.5,1.9,30.4
93.2,94.1,128.7,2.7,4.5,0.5,30.4
71.5,72.5,89.3,4.5,17.1,0.8,14.0
92.6,96.6,108.0,2.6,16.9,3.9,32.0
76.2,78.2,124.3,1.1,5.9,0.5,7.2
71.5,76.5,53.4,1.0,17.5,0.8,12.0
72.9,74.3,61.3,2.2,9.7,1.4,16.0
82.0,85.7,105.7,1.9,9.0,3.5,12.8
79.3,81.1,84.0,0.9,7.4,4.2,31.2
61.2,67.4,108.0,1.5,10.2,5.2,6.4
85.0,86.7,103.9,3.6,6.6,2.5,32.8
78.9,81.2,117.1,1.9,11.2,1.7,13.6
75.9,78.7,65.8,2.8,17.7,0.1,25.2
81.6,88.0,72.4,2.1,19.8,0.8,27.6
80.8,84.6,88.8,1.4,6.9,5.7,33.2
80.2,80.5,53.6,1.7,2.2,0.8,33.6
79.0,82.0,127.9,3.2,16.6,3.5,10.0
78.7,80.2,97.7,2.3,7.5,0.6,22.0
75.7,77.6,89.7,1.3,3.8,4.4,28.4
78.5,81.3,76.6,0.5,2.4,5.3,20.8
76.7,75.8,95.3,2.8,2.0,4.9,15.2
78.3,81.5,77.4,2.6,18.1,0.1,18.0
68.2,66.8,96.4,2.8,1.5,5.1,20.0
85.3,91.7,113.5,2.1,22.1,3.6,12.4
77.0,81.7,115.7,0.2,14.6,2.1,30.0
71.5,72.3,74.4,1.2,4.3,1.1,35.2
76.6,75.2,54.5,3.1,2.5,4.3,34.8
97.6,101.6,92.7,2.6,18.5,1.3,11.6
84.3,83.9,93.5,3.3,6.8,0.0,36.8
97.6,100.5,97.4,1.8,16.0,1.0,22.8
67.7,69.1,114.4,1.1,2.1,2.8,21.6
78.3,82.6,101.2,3.6,19.9,0.4,24.8
73.8,75.1,87.5,2.0,4.5,1.9,36.0
88.3,91.9,91.2,1.3,7.9,3.7,16.4
87.9,90.3,131.6,2.2,2.0,3.4,9.2
78.5,81.9,54.6,0.4,11.7,1.0,13.2
81.0,84.8,143.5,0.8,4.4,4.6,16.8
96.5,97.1,114.7,3.1,7.8,2.2,25.6
78.9,86.7,75.0,1.1,17.4,5.4,15.2
76.2,78.7,58.4,2.1,14.2,1.4,31.6
87.9,90.8,88.0,1.0,5.2,4.3,18.0
64.3,66.4,92.1,1.1,4.5,4.4,16.8
74.5,80.1,114.1,2.8,19.0,1.1,34.4
80.6,81.6,57.6,1.7,9.4,0.4,22.8
78.6,83.0,65.4,1.1,17.7,0.4,20.8
71.8,73.0,112.1,2.1,3.8,0.1,40.4
75.9,75.2,85.1,3.8,17.6,0.3,22.8
78.5,80.1,98.5,4.0,12.9,0.2,27.2
70.6,74.8,112.0,1.8,16.6,1.6,13.2
97.9,98.0,95.2,3.7,12.7,0.7,16.0
77.9,77.9,98.8,2.1,4.0,4.3,15.2
62.1,67.9,71.7,2.9,20.6,0.5,22.4
89.0,91.1,97.0,2.3,6.4,5.5,37.6
81.7,81.6,77.5,4.9,18.2,3.2,34.8
80.4,83.4,84.4,3.3,21.6,2.9,25.6
79.8,79.0,50.4,2.1,1.1,0.4,13.2
83.8,85.8,141.5,5.3,14.7,2.2,15.6
74.5,74.5,67.9,2.7,4.5,4.4,11.2
71.6,75.4,90.9,3.9,19.5,0.5,38.8
90.0,91.0,139.4,1.7,0.5,0.7,38.0
75.9,76.8,110.6,4.1,12.2,4.6,27.2
78.5,83.5,115.7,1.7,14.4,5.0,21.6
88.8,92.5,63.7,1.9,18.8,0.8,16.8
78.5,81.8,95.5,0.4,17.6,1.2,37.2
93.2,95.4,86.0,0.9,10.5,0.6,24.0
81.8,83.9,77.3,4.1,14.4,4.7,10.4
71.6,75.1,114.2,1.0,5.3,0.3,15.2
72.7,79.4,67.1,1.2,16.2,2.1,16.4
93.4,92.7,106.8,3.3,2.8,0.2,20.0
77.5,82.8,84.7,2.1,17.5,4.7,24.0
90.8,90.8,76.4,3.3,6.7,1.5,16.0
85.0,83.5,64.7,3.4,0.7,2.2,18.4
87.2,89.6,82.8,2.7,10.6,4.8,40.4
72.8,74.3,84.4,1.7,4.3,5.2,8.0
72.3,72.7,87.8,1.6,2.4,0.8,39.2
85.6,87.1,87.5,1.1,8.3,3.6,8.0
74.0,72.4,83.7,3.2,0.9,0.5,40.0
87.9,94.3,90.6,1.9,14.8,5.0,43.2
86.5,86.6,57.3,1.9,3.1,4.1,18.4
87.1,89.6,102.1,3.5,16.7,1.3,34.8
81.6,83.8,63.2,5.3,14.9,5.0,9.6
76.5,79.1,97.5,3.9,16.2,0.9,38.0
89.0,89.8,53.2,2.6,14.0,0.6,29.6
81.0,83.8,121.5,3.0,1.4,5.6,36.0
75.3,76.5,50.9,3.7,9.5,1.0,37.6
80.2,83.0,161.9,2.4,4.9,5.7,33.2
89.9,88.3,69.9,2.4,0.3,2.1,14.8
101.6,102.2,77.5,1.3,5.1,3.5,25.2
81.4,82.9,61.6,1.4,6.2,0.7,10.4
78.9,80.6,105.3,5.2,20.2,0.3,16.0
66.9,68.2,77.1,3.2,3.9,3.2,42.8
88.1,88.0,73.9,4.2,9.5,0.4,27.6
84.1,88.5,128.7,3.6,17.4,1.9,54.4
92.6,93.3,124.8,3.6,0.7,2.4,24.4
75.9,78.4,132.3,2.8,13.3,4.5,19.2
81.0,78.9,63.0,3.4,0.9,3.5,37.2
86.8,91.4,50.9,1.8,18.5,0.3,10.8
84.1,82.7,85.9,2.8,0.4,0.7,37.2
84.2,84.4,80.6,1.9,2.6,3.9,28.4
78.2,79.5,106.8,0.7,2.7,1.3,23.2
84.5,89.2,145.3,2.6,14.2,2.0,46.4
69.9,76.1,139.8,0.2,12.7,2.8,33.6
92.4,93.0,87.6,0.8,3.2,0.3,17.6
72.3,73.1,97.7,2.3,5.8,1.2,10.8
76.0,77.2,75.8,0.5,4.7,1.3,15.2
78.4,83.2,96.4,1.6,17.6,1.2,31.2
91.7,93.1,124.2,0.6,4.4,0.4,8.4
79.6,78.3,82.7,5.1,14.9,0.4,11.2
87.7,84.0,101.2,5.4,4.3,1.3,9.2
84.2,86.8,116.9,3.7,18.0,1.1,25.6
86.4,86.3,84.6,1.6,2.9,0.4,12.0
91.8,93.0,95.4,3.6,15.0,0.4,26.4
81.7,82.4,68.2,1.4,7.7,0.5,8.0
71.1,74.5,50.8,4.0,14.0,4.4,14.8
84.0,87.1,132.2,1.7,15.3,0.3,7.2
89.2,91.4,61.5,4.2,18.0,4.0,22.0
83.6,87.2,122.1,1.0,7.7,4.7,16.8
75.7,80.3,115.0,2.6,16.7,1.2,30.8
71.7,72.7,83.5,4.7,21.7,3.0,34.8
72.1,69.7,80.5,2.8,0.2,0.6,21.2
74.3,75.2,51.6,4.8,16.4,5.2,28.4
73.3,77.3,123.3,3.5,21.5,1.5,12.4
84.0,84.2,91.8,0.5,0.0,0.4,15.2
82.9,85.0,52.9,2.1,8.4,4.3,34.0
72.4,77.8,78.0,2.1,20.3,2.3,42.8
76.3,79.2,89.5,3.4,17.2,0.9,43.2
73.6,76.9,65.3,3.5,20.1,3.9,39.6
80.3,82.3,81.2,0.5,2.9,4.0,54.0
77.3,81.9,133.1,3.7,18.9,5.6,14.0
95.5,92.9,118.8,3.4,0.4,0.3,22.0
71.7,72.9,126.1,0.5,4.2,3.4,15.6
90.0,93.5,92.8,2.1,21.8,4.1,23.2
82.6,86.0,87.5,5.4,16.5,5.0,32.8
80.3,82.0,126.4,3.2,6.1,0.4,38.0
77.7,77.6,122.6,2.8,16.1,0.7,16.4
101.2,100.0,77.8,3.9,10.4,2.2,10.0
76.0,81.7,60.4,3.4,20.0,3.3,30.0
90.2,90.1,83.3,4.1,6.1,5.4,30.4
91.8,94.2,134.1,1.7,8.0,1.0,8.4
84.8,87.4,82.1,2.3,12.3,0.4,18.0
72.6,78.2,84.0,1.8,17.8,2.2,55.2
86.8,89.5,140.8,2.6,6.2,4.8,8.4
69.9,72.7,73.2,4.6,20.1,0.4,14.0
89.1,87.8,68.2,4.0,0.2,0.8,35.2
89.8,92.7,99.3,1.1,4.2,5.1,23.2
78.6,83.8,73.9,1.3,18.8,0.6,4.4
77.6,77.2,88.3,1.7,6.3,0.6,44.0
79.6,81.8,124.1,3.5,13.0,0.6,23.6
79.7,80.2,75.9,1.3,3.8,0.2,27.2
85.7,90.9,84.4,3.4,17.2,5.3,22.0
83.9,83.6,61.6,2.5,4.5,0.6,19.6
79.4,78.8,50.9,2.0,1.4,0.6,20.8
82.5,83.3,121.3,0.8,0.9,0.6,24.0
86.0,84.8,62.8,3.3,8.4,1.2,13.6
67.6,74.3,132.2,4.5,13.8,0.3,25.6
67.8,68.6,97.8,2.5,4.5,4.3,29.2
86.4,90.9,88.3,2.0,20.7,0.5,30.4
83.6,84.5,94.3,3.9,9.8,4.3,26.8
88.9,89.1,83.7,2.0,0.1,3.7,16.4
75.3,74.5,77.6,2.6,0.2,1.3,18.4
72.0,72.4,127.4,5.3,11.8,0.7,28.4
92.8,91.6,72.2,2.9,2.3,0.9,23.2
66.6,67.1,109.1,2.8,2.6,3.6,36.0
80.8,89.8,119.1,0.2,19.1,4.8,24.4
82.9,82.7,106.8,1.8,0.2,3.5,10.4
81.6,83.2,104.5,1.6,17.3,3.4,34.4
85.2,88.3,89.4,3.8,16.3,1.9,23.6
97.6,97.2,91.5,1.4,0.8,0.9,10.4
74.2,79.0,116.4,2.7,18.9,2.0,16.8
74.0,78.3,133.4,1.6,19.4,3.7,16.8
78.8,79.5,97.3,0.7,3.9,0.3,32.8
79.9,78.9,127.4,3.2,0.2,0.2,14.8
81.8,83.1,91.1,1.8,9.4,4.2,24.8
81.7,85.5,96.3,0.1,10.5,4.6,32.4
72.8,73.8,96.2,2.8,17.4,0.3,20.4
86.5,85.3,62.4,2.3,1.4,0.6,17.6
98.7,97.2,95.7,4.8,0.8,0.7,28.0
79.2,79.6,82.7,1.8,0.1,4.8,33.6
76.4,80.3,67.2,1.9,13.1,3.8,4.4
91.1,90.7,86.6,2.4,1.6,5.9,21.6
84.9,85.9,99.4,1.5,0.1,5.2,29.6
79.0,83.4,85.8,3.2,18.2,0.1,15.2
70.0,71.7,52.4,2.2,11.4,0.5,35.6
71.6,77.4,82.6,1.3,17.4,0.7,25.6
92.6,93.4,109.3,1.4,2.0,1.0,18.0
79.6,79.7,86.6,3.2,8.6,0.2,14.4
78.4,79.2,76.9,3.4,6.5,4.8,17.6
80.2,82.0,126.5,1.5,1.5,1.9,28.8
93.3,93.2,67.0,2.1,1.6,2.1,26.8
89.6,92.6,75.2,1.8,6.1,4.5,21.6
71.9,73.9,84.0,1.6,6.8,4.0,41.6
79.4,84.1,95.7,1.8,16.6,2.6,17.2
77.8,76.5,114.6,4.6,17.1,0.9,32.8
90.1,89.9,63.6,3.8,5.5,0.7,40.8
78.1,80.3,144.0,1.1,5.0,0.5,23.6
72.9,74.2,102.9,2.9,10.4,0.5,22.8
80.0,84.5,69.3,2.3,17.1,1.6,42.0
70.2,71.2,51.6,1.0,4.4,0.1,14.0
84.8,91.9,77.9,3.1,17.0,4.6,10.4
81.4,84.8,111.8,2.6,22.1,1.8,17.2
69.7,67.5,91.6,4.5,0.3,4.2,51.6
69.4,72.0,100.6,2.5,15.2,1.2,10.8
72.5,78.2,119.6,2.4,15.4,0.8,26.4
78.6,81.7,71.2,2.2,16.9,4.7,44.0
65.9,70.2,79.9,3.7,15.6,1.2,33.6
78.7,84.4,145.8,1.7,9.7,0.6,28.4
84.6,84.8,93.1,1.4,1.7,1.7,16.8
74.6,77.9,99.4,1.8,12.5,4.2,20.8
83.2,82.6,108.1,1.7,1.0,0.6,36.0
80.1,82.8,106.9,2.0,10.7,1.0,45.2
77.8,80.4,91.6,1.7,7.7,2.8,19.2
69.9,75.2,84.8,0.2,16.9,4.2,25.6
81.5,85.9,58.5,1.5,21.7,0.1,13.6
61.1,64.9,70.6,1.5,13.8,5.9,28.0
71.5,77.3,98.2,1.7,14.3,4.0,38.8
91.4,91.7,107.4,1.4,0.1,0.8,25.6
103.2,101.8,57.3,4.5,0.1,4.0,50.4
80.3,83.5,56.7,1.2,16.1,1.4,44.8
80.1,79.4,90.1,1.9,0.2,0.7,6.8
85.0,86.9,123.7,2.1,2.8,1.2,6.4
67.1,73.3,115.3,1.7,21.1,5.2,14.8
60.5,64.1,94.4,0.5,14.3,3.2,14.0
88.3,85.3,90.3,4.2,6.9,2.4,38.0
87.2,89.9,84.4,3.4,19.7,0.4,33.6
87.9,88.5,71.2,1.8,0.0,5.1,37.6
81.9,82.7,94.5,1.7,0.6,4.7,26.0
86.9,88.4,70.2,3.2,11.8,0.6,9.6
77.2,80.6,153.4,2.7,1.1,1.5,33.6
75.9,76.5,64.9,1.3,0.1,3.8,34.4
87.5,90.1,111.3,1.5,18.6,0.8,5.2
96.8,96.0,132.3,2.5,0.2,3.7,3.6
72.5,79.4,63.7,3.2,20.8,0.1,21.2
80.7,79.2,73.7,2.2,3.0,0.5,26.8
81.6,82.1,59.1,2.2,5.8,0.9,24.8
80.5,83.7,65.7,1.3,13.7,0.6,16.4
93.4,93.1,118.8,3.9,4.0,0.8,36.0
81.6,79.6,70.4,2.8,1.4,0.2,18.0
77.2,81.9,52.2,1.1,21.6,1.4,28.0
84.0,85.0,119.8,2.0,0.8,0.4,27.2
86.2,86.6,66.3,3.4,7.7,0.8,26.0
73.4,78.9,105.1,2.0,21.1,0.7,25.6
83.4,81.1,118.1,4.3,4.4,1.8,15.2
95.9,96.0,78.4,1.5,0.4,1.9,20.8
76.3,79.0,81.1,2.3,17.2,0.3,21.2
72.7,75.3,65.2,1.7,17.8,0.4,29.2
83.6,84.6,90.3,1.1,2.3,0.5,27.2
76.8,78.5,101.1,1.8,5.3,2.2,23.2
70.6,69.0,105.4,4.7,15.5,0.2,15.2
77.4,75.0,94.1,3.0,1.0,2.3,5.2
77.3,80.0,98.4,0.7,9.1,0.8,42.0
82.3,84.5,95.4,1.7,9.7,0.7,35.6
82.1,81.4,106.9,3.9,6.0,1.9,25.6
85.9,89.1,62.0,2.3,17.3,0.7,9.2
78.7,81.3,109.0,4.2,15.2,4.4,36.4
80.2,87.3,101.5,1.5,14.3,5.5,47.2
80.7,80.0,68.6,2.5,0.7,3.7,6.8
80.7,80.5,76.3,1.7,0.1,1.5,42.0
82.2,86.7,56.8,3.3,17.9,1.1,23.2
78.8,81.4,59.9,2.2,14.3,0.9,23.6
66.1,64.6,67.2,2.5,1.1,0.8,13.2
