lifespan,genetic,length,mass,alcohol,bmi norm under,bmi norm over
86.1,90.2,172.0,76.3,3.6,0.0,0.790968090859927
76.9,81.5,198.0,73.1,3.9,0.0,0.0
74.9,79.2,194.0,80.3,3.8,0.0,0.0
74.3,75.8,188.0,115.1,3.5,0.0,7.5656405613399755
73.7,75.6,181.0,87.4,4.2,0.0,1.678062330209702
77.3,77.4,210.0,76.6,0.1,-1.130385487528347,0.0
77.8,78.9,184.0,85.5,0.8,0.0,0.254017013232513
75.6,77.2,177.0,113.9,0.6,0.0,11.356091799929779
84.0,89.4,182.0,106.8,4.5,0.0,7.242482791933341
74.4,77.3,171.0,88.3,0.3,0.0,5.197325672856607
76.3,77.7,184.0,146.0,4.5,0.0,18.123818525519845
88.7,88.0,174.0,84.4,4.7,0.0,2.8768661646188427
63.4,73.5,174.0,142.7,3.0,0.0,22.13304267406526
75.0,74.9,182.0,112.7,0.4,0.0,9.023668639053255
92.5,98.0,191.0,154.8,0.5,0.0,17.433047339711088
79.0,86.0,184.0,115.6,4.3,0.0,9.144612476370504
92.6,91.8,160.0,92.0,0.6,0.0,10.937499999999993
68.4,68.9,192.0,83.0,2.6,0.0,0.0
77.3,81.7,163.0,110.3,4.8,0.0,16.514547028491855
90.2,91.7,178.0,70.8,1.2,0.0,0.0
75.3,78.7,173.0,96.5,0.4,0.0,7.242975040930197
71.1,69.5,171.0,55.0,0.7,0.0,0.0
72.3,76.3,209.0,82.9,0.5,0.0,0.0
77.7,78.3,169.0,113.5,1.0,0.0,14.739504919295548
81.1,86.3,185.0,66.4,0.9,0.0,0.0
81.0,82.2,205.0,94.6,5.3,0.0,0.0
80.8,84.3,177.0,96.1,5.3,0.0,5.674454977816076
62.7,73.3,198.0,159.5,4.6,0.0,15.684624017957354
81.8,80.0,176.0,74.3,1.5,0.0,0.0
80.6,79.5,198.0,60.7,5.4,-3.0168860320375455,0.0
70.5,74.1,202.0,91.5,0.9,0.0,0.0
87.7,88.7,181.0,79.4,0.3,0.0,0.0
84.3,86.8,196.0,96.9,3.9,0.0,0.22386505622657538
73.9,76.7,172.0,107.4,3.5,0.0,11.303407247160635
83.2,84.5,178.0,56.0,0.8,-0.8254639565711415,0.0
80.2,80.4,184.0,51.0,0.5,-3.4362003780718346,0.0
81.6,81.8,172.0,98.8,5.0,0.0,8.396430502974582
73.7,75.5,171.0,97.9,0.3,0.0,8.48038712766322
88.0,91.4,188.0,97.6,4.3,0.0,2.6143051154368493
89.6,93.7,192.0,64.5,5.1,-1.0032552083333321,0.0
86.9,86.2,197.0,97.5,4.1,0.0,0.12303847045788174
81.0,82.6,200.0,102.7,2.7,0.0,0.6750000000000007
72.2,71.6,191.0,110.5,3.6,0.0,5.289739864587045
70.8,75.9,187.0,66.0,4.2,0.0,0.0
89.8,93.2,163.0,112.5,0.7,0.0,17.342579698144455
79.9,86.0,167.0,119.1,0.4,0.0,17.705009143389866
84.0,83.8,199.0,57.3,1.1,-4.030668417464208,0.0
79.2,84.3,170.0,108.9,1.0,0.0,12.681660899653984
86.5,90.5,179.0,65.5,0.9,0.0,0.0
71.9,75.7,203.0,60.8,0.8,-3.745941420563465,0.0
85.6,92.1,192.0,83.3,0.2,0.0,0.0
71.1,73.0,191.0,82.9,0.1,0.0,0.0
72.5,77.0,179.0,138.8,0.2,0.0,18.319496894603795
81.0,81.1,173.0,53.9,5.0,-0.49071135019546475,0.0
90.0,92.6,201.0,108.7,3.5,0.0,1.9052746219153072
77.4,85.5,209.0,74.6,3.8,-1.4216364094228595,0.0
77.0,80.0,184.0,118.0,0.9,0.0,9.853497164461245
80.0,84.6,187.0,62.3,0.5,-0.684220309416915,0.0
72.6,76.2,175.0,59.1,0.4,0.0,0.0
79.4,84.0,191.0,69.0,5.3,0.0,0.0
82.2,85.3,178.0,103.3,0.9,0.0,7.60320666582502
72.5,77.2,175.0,106.5,1.7,0.0,9.775510204081634
62.9,65.3,190.0,50.5,2.3,-4.511080332409971,0.0
75.5,80.1,193.0,79.0,4.2,0.0,0.0
82.6,83.7,204.0,129.2,4.2,0.0,6.045751633986924
83.3,84.8,183.0,108.4,0.4,0.0,7.368837528740777
92.0,92.7,175.0,122.6,0.8,0.0,15.032653061224487
75.8,79.8,172.0,148.5,0.7,0.0,25.196051919956737
77.2,75.9,206.0,83.8,0.4,0.0,0.0
82.4,85.0,166.0,90.1,0.2,0.0,7.697053273334298
89.6,91.5,177.0,107.1,3.2,0.0,9.18557885665038
88.7,86.1,182.0,66.3,0.2,0.0,0.0
74.7,77.3,193.0,114.8,0.9,0.0,5.819619318639425
78.8,81.3,175.0,50.4,1.7,-2.0428571428571445,0.0
85.6,83.5,177.0,63.8,0.7,0.0,0.0
84.2,83.6,200.0,107.2,1.0,0.0,1.8000000000000007
73.6,78.8,181.0,94.4,5.3,0.0,3.8147492445285565
78.3,81.1,175.0,51.4,4.1,-1.7163265306122462,0.0
78.6,78.0,185.0,72.9,3.7,0.0,0.0
64.2,67.1,181.0,98.8,0.7,0.0,5.157809590671835
79.3,78.6,179.0,52.9,0.4,-1.9899035610623876,0.0
81.6,85.5,196.0,131.7,1.5,0.0,9.282590587255314
80.2,83.2,191.0,73.5,0.4,0.0,0.0
86.9,91.0,183.0,63.3,4.9,0.0,0.0
76.3,78.2,172.0,76.0,2.4,0.0,0.6895619253650658
79.5,77.3,189.0,128.9,1.0,0.0,11.085215979395876
75.6,78.7,201.0,68.3,0.7,-1.5944778594589195,0.0
95.8,98.5,188.0,105.9,4.6,0.0,4.962652784065192
78.5,79.3,191.0,61.8,3.9,-1.5596748992626317,0.0
65.3,72.4,166.0,125.2,1.7,0.0,20.434751052402383
77.0,80.8,170.0,94.3,1.6,0.0,7.6297577854671275
72.1,77.8,168.0,112.1,0.3,0.0,14.717970521541957
92.2,91.1,166.0,64.2,2.2,0.0,0.0
71.9,75.0,199.0,136.9,4.2,0.0,9.569834095098606
72.8,79.3,179.0,68.2,4.0,0.0,0.0
73.1,76.3,194.0,70.6,0.5,0.0,0.0
73.5,75.3,199.0,105.8,2.9,0.0,1.7164970581550953
69.6,68.2,186.0,79.3,0.4,0.0,0.0
85.8,87.7,192.0,91.2,2.0,0.0,0.0
62.8,64.2,174.0,101.9,5.1,0.0,8.657022063680806
75.6,75.3,180.0,84.3,1.0,0.0,1.0185185185185155
72.3,74.0,178.0,68.4,2.4,0.0,0.0
78.8,80.7,172.0,138.2,4.3,0.0,21.71444023796647
78.2,81.8,187.0,57.9,0.3,-1.9424776230375507,0.0
77.2,81.8,181.0,118.6,4.4,0.0,11.201581148316592
78.7,81.7,184.0,79.0,2.9,0.0,0.0
77.8,80.1,175.0,110.0,0.8,0.0,10.918367346938773
79.2,81.7,181.0,94.4,2.4,0.0,3.8147492445285565
87.2,86.5,170.0,83.6,2.8,0.0,3.927335640138409
91.9,96.3,186.0,83.9,0.5,0.0,0.0
83.8,83.1,171.0,103.5,5.6,0.0,10.395506309633738
68.1,73.1,169.0,79.1,5.2,0.0,2.6951087146808597
81.6,78.8,187.0,69.9,5.2,0.0,0.0
81.2,82.2,189.0,90.3,0.6,0.0,0.27924750146972244
90.8,91.3,181.0,88.0,1.1,0.0,1.8612069228656019
71.5,75.9,176.0,89.2,0.6,0.0,3.7964876033057884
76.8,81.8,181.0,156.3,5.6,0.0,22.709166386862428
79.1,80.2,187.0,66.5,2.1,0.0,0.0
71.5,74.9,211.0,113.0,1.5,0.0,0.3812807439186017
95.4,94.7,187.0,57.8,3.1,-1.971074380165291,0.0
69.1,72.2,207.0,113.0,5.4,0.0,1.3716772853508878
85.6,84.1,195.0,68.6,1.1,-0.4592373438527275,0.0
76.9,81.0,185.0,67.7,0.7,0.0,0.0
92.2,91.9,164.0,75.0,3.9,0.0,2.8851873884592543
86.3,89.4,164.0,121.6,3.7,0.0,20.211183819155274
83.5,83.8,199.0,99.2,1.1,0.0,0.0498724779677282
77.0,80.3,187.0,105.6,0.2,0.0,5.198175526895245
69.4,75.3,187.0,110.9,0.4,0.0,6.713803654665558
73.1,72.3,175.0,69.4,3.2,0.0,0.0
84.3,84.2,183.0,88.8,1.9,0.0,1.516169488488753
93.2,94.1,196.0,128.7,0.5,0.0,8.501665972511454
71.5,72.5,192.0,89.3,0.8,0.0,0.0
92.6,96.6,187.0,108.0,3.9,0.0,5.884497697961045
76.2,78.2,184.0,124.3,0.5,0.0,11.71431947069943
71.5,76.5,172.0,53.4,0.8,-0.4497025419145473,0.0
72.9,74.3,186.0,61.3,1.4,-0.7811885767140758,0.0
82.0,85.7,155.0,105.7,3.5,0.0,18.99583766909469
79.3,81.1,191.0,84.0,4.2,0.0,0.0
61.2,67.4,169.0,108.0,5.2,0.0,12.813802037743784
85.0,86.7,184.0,103.9,2.5,0.0,5.688799621928165
78.9,81.2,202.0,117.1,1.7,0.0,3.6981668463876076
75.9,78.7,185.0,65.8,0.1,0.0,0.0
81.6,88.0,180.0,72.4,0.8,0.0,0.0
80.8,84.6,172.0,88.8,5.7,0.0,5.01622498647918
80.2,80.5,186.0,53.6,0.8,-3.0068794080240515,0.0
79.0,82.0,191.0,127.9,3.5,0.0,10.059345960911159
78.7,80.2,177.0,97.7,0.6,0.0,6.185163905646522
75.7,77.6,197.0,89.7,4.4,0.0,0.0
78.5,81.3,156.0,76.6,5.3,0.0,6.476002629848779
76.7,75.8,189.0,95.3,4.9,0.0,1.6789843509420237
78.3,81.5,196.0,77.4,0.1,0.0,0.0
68.2,66.8,186.0,96.4,5.1,0.0,2.8644930049716706
85.3,91.7,177.0,113.5,3.6,0.0,11.228414567972166
77.0,81.7,189.0,115.7,2.1,0.0,7.389910696789009
71.5,72.3,205.0,74.4,1.1,-0.7962522308149893,0.0
76.6,75.2,196.0,54.5,4.3,-4.313202832153268,0.0
97.6,101.6,164.0,92.7,1.3,0.0,9.466091612135642
84.3,83.9,203.0,93.5,0.0,0.0,0.0
97.6,100.5,173.0,97.4,1.0,0.0,7.543686725249756
67.7,69.1,192.0,114.4,2.8,0.0,6.032986111111114
78.3,82.6,183.0,101.2,0.4,0.0,5.218877840484932
73.8,75.1,168.0,87.5,1.9,0.0,6.00198412698413
88.3,91.9,200.0,91.2,3.7,0.0,0.0
87.9,90.3,166.0,131.6,3.4,0.0,22.757294237189726
78.5,81.9,182.0,54.6,1.0,-2.016483516483518,0.0
81.0,84.8,180.0,143.5,4.6,0.0,19.29012345679012
96.5,97.1,199.0,114.7,2.2,0.0,3.9639150526501865
78.9,86.7,199.0,75.0,5.4,0.0,0.0
76.2,78.7,187.0,58.4,1.4,-1.7994938373988418,0.0
87.9,90.8,187.0,88.0,4.3,0.0,0.16514627241270574
64.3,66.4,181.0,92.1,4.4,0.0,3.1126949726809308
74.5,80.1,161.0,114.1,1.1,0.0,19.018363489062914
80.6,81.6,179.0,57.6,0.4,-0.523032988982866,0.0
78.6,83.0,211.0,65.4,0.4,-3.8103030030771965,0.0
71.8,73.0,171.0,112.1,0.1,0.0,13.33658219623132
75.9,75.2,198.0,85.1,0.3,0.0,0.0
78.5,80.1,191.0,98.5,0.2,0.0,2.000356349880761
70.6,74.8,180.0,112.0,1.6,0.0,9.567901234567898
97.9,98.0,188.0,95.2,0.7,0.0,1.935264825712995
77.9,77.9,179.0,98.8,4.3,0.0,5.835492025841891
62.1,67.9,170.0,71.7,0.5,0.0,0.0
89.0,91.1,200.0,97.0,5.5,0.0,0.0
81.7,81.6,172.0,77.5,3.2,0.0,1.1965927528393756
80.4,83.4,191.0,84.4,2.9,0.0,0.0
79.8,79.0,187.0,50.4,0.4,-4.08723440761818,0.0
83.8,85.8,179.0,141.5,2.2,0.0,19.16216722324522
74.5,74.5,166.0,67.9,4.4,0.0,0.0
71.6,75.4,170.0,90.9,0.5,0.0,6.453287197231841
90.0,91.0,190.0,139.4,0.7,0.0,13.614958448753463
75.9,76.8,205.0,110.6,4.6,0.0,1.317668054729328
78.5,83.5,175.0,115.7,5.0,0.0,12.779591836734696
88.8,92.5,180.0,63.7,0.8,0.0,0.0
78.5,81.8,173.0,95.5,1.2,0.0,6.908850947241806
93.2,95.4,173.0,86.0,0.6,0.0,3.7346720572020438
81.8,83.9,196.0,77.3,4.7,0.0,0.0
71.6,75.1,158.0,114.2,0.3,0.0,20.74587405864444
72.7,79.4,172.0,67.1,2.1,0.0,0.0
93.4,92.7,204.0,106.8,0.2,0.0,0.6632064590542086
77.5,82.8,182.0,84.7,4.7,0.0,0.5705832628909526
90.8,90.8,173.0,76.4,1.5,0.0,0.5270807577934455
85.0,83.5,207.0,64.7,2.2,-3.40046442157343,0.0
87.2,89.6,173.0,82.8,4.8,0.0,2.6654749573991765
72.8,74.3,179.0,84.4,5.2,0.0,1.34125027308761
72.3,72.7,179.0,87.8,0.8,0.0,2.4023906869323675
85.6,87.1,175.0,87.5,3.6,0.0,3.571428571428573
74.0,72.4,183.0,83.7,0.5,0.0,0.0
87.9,94.3,176.0,90.6,5.0,0.0,4.248450413223139
86.5,86.6,195.0,57.3,4.1,-3.4309664694280073,0.0
87.1,89.6,186.0,102.1,1.3,0.0,4.512082321655676
81.6,83.8,188.0,63.2,5.0,-0.6186057039384316,0.0
76.5,79.1,198.0,97.5,0.9,0.0,0.0
89.0,89.8,190.0,53.2,0.6,-3.7631578947368407,0.0
81.0,83.8,175.0,121.5,5.6,0.0,14.673469387755105
75.3,76.5,197.0,50.9,1.0,-5.384485557473782,0.0
80.2,83.0,195.0,161.9,5.7,0.0,17.577251808021046
89.9,88.3,174.0,69.9,2.1,0.0,0.0
101.6,102.2,205.0,77.5,3.5,-0.05859607376561371,0.0
81.4,82.9,184.0,61.6,0.7,-0.30529300567107853,0.0
78.9,80.6,188.0,105.3,0.3,0.0,4.792892711634224
66.9,68.2,177.0,77.1,3.2,0.0,0.0
88.1,88.0,182.0,73.9,0.4,0.0,0.0
84.1,88.5,180.0,128.7,1.9,0.0,14.722222222222214
92.6,93.3,180.0,124.8,2.4,0.0,13.518518518518512
75.9,78.4,188.0,132.3,4.5,0.0,12.432095971027621
81.0,78.9,175.0,63.0,3.5,0.0,0.0
86.8,91.4,171.0,50.9,0.3,-1.0929345781608006,0.0
84.1,82.7,189.0,85.9,0.7,0.0,0.0
84.2,84.4,178.0,80.6,3.9,0.0,0.438707233935105
78.2,79.5,198.0,106.8,1.3,0.0,2.242118151209059
84.5,89.2,192.0,145.3,2.0,0.0,14.41514756944445
69.9,76.1,184.0,139.8,2.8,0.0,16.29253308128545
92.4,93.0,187.0,87.6,0.3,0.0,0.05075924390173725
72.3,73.1,187.0,97.7,1.2,0.0,2.939031713803651
76.0,77.2,192.0,75.8,1.3,0.0,0.0
78.4,83.2,178.0,96.4,1.2,0.0,5.42545133190254
91.7,93.1,208.0,124.2,0.4,0.0,3.7074704142011825
79.6,78.3,185.0,82.7,0.4,0.0,0.0
87.7,84.0,188.0,101.2,1.3,0.0,3.632865550022636
84.2,86.8,165.0,116.9,1.1,0.0,17.9384756657484
86.4,86.3,199.0,84.6,0.4,0.0,0.0
91.8,93.0,165.0,95.4,0.4,0.0,10.041322314049594
81.7,82.4,181.0,68.2,0.5,0.0,0.0
71.1,74.5,176.0,50.8,4.4,-2.100206611570247,0.0
84.0,87.1,184.0,132.2,0.3,0.0,14.047731568998103
89.2,91.4,163.0,61.5,4.0,0.0,0.0
83.6,87.2,176.0,122.1,4.7,0.0,14.417613636363633
75.7,80.3,192.0,115.0,1.2,0.0,6.195746527777779
71.7,72.7,195.0,83.5,3.0,0.0,0.0
72.1,69.7,194.0,80.5,0.6,0.0,0.0
74.3,75.2,195.0,51.6,5.2,-4.9299802761341205,0.0
73.3,77.3,157.0,123.3,1.5,0.0,25.022313278429145
84.0,84.2,181.0,91.8,0.4,0.0,3.021122676352981
82.9,85.0,170.0,52.9,4.3,-0.19550173010380334,0.0
72.4,77.8,179.0,78.0,2.3,0.0,0.0
76.3,79.2,179.0,89.5,0.9,0.0,2.932960893854748
73.6,76.9,202.0,65.3,3.9,-2.4966669934320187,0.0
80.3,82.3,180.0,81.2,4.0,0.0,0.06172839506172778
77.3,81.9,191.0,133.1,5.6,0.0,11.484745483950547
95.5,92.9,192.0,118.8,0.3,0.0,7.2265625
71.7,72.9,212.0,126.1,3.4,0.0,3.0571377714489074
90.0,93.5,178.0,92.8,4.1,0.0,4.28923115768211
82.6,86.0,167.0,87.5,5.0,0.0,6.374376994513966
80.3,82.0,181.0,126.4,0.4,0.0,13.582460852843319
77.7,77.6,175.0,122.6,0.7,0.0,15.032653061224487
101.2,100.0,207.0,77.8,2.2,-0.3432168778734628,0.0
76.0,81.7,206.0,60.4,3.3,-4.266801772080308,0.0
90.2,90.1,182.0,83.3,5.4,0.0,0.14792899408283589
91.8,94.2,175.0,134.1,1.0,0.0,18.787755102040812
84.8,87.4,189.0,82.1,0.4,0.0,0.0
72.6,78.2,170.0,84.0,2.2,0.0,4.065743944636683
86.8,89.5,174.0,140.8,4.8,0.0,21.50548289073854
69.9,72.7,197.0,73.2,0.4,0.0,0.0
89.1,87.8,195.0,68.2,0.8,-0.5644312952005244,0.0
89.8,92.7,171.0,99.3,5.1,0.0,8.959166923155848
78.6,83.8,171.0,73.9,0.6,0.0,0.2727334906467007
77.6,77.2,207.0,88.3,0.6,0.0,0.0
79.6,81.8,176.0,124.1,0.6,0.0,15.06327479338843
79.7,80.2,201.0,75.9,0.2,0.0,0.0
85.7,90.9,180.0,84.4,5.3,0.0,1.049382716049383
83.9,83.6,180.0,61.6,0.6,0.0,0.0
79.4,78.8,192.0,50.9,0.6,-4.692491319444445,0.0
82.5,83.3,178.0,121.3,0.6,0.0,13.284307536927152
86.0,84.8,163.0,62.8,1.2,0.0,0.0
67.6,74.3,164.0,132.2,0.3,0.0,24.152290303390842
67.8,68.6,197.0,97.8,4.3,0.0,0.2003401272900618
86.4,90.9,173.0,88.3,0.5,0.0,4.503157472685352
83.6,84.5,189.0,94.3,4.3,0.0,1.399036981047562
88.9,89.1,182.0,83.7,3.7,0.0,0.2686873565994432
75.3,74.5,187.0,77.6,1.3,0.0,0.0
72.0,72.4,178.0,127.4,0.7,0.0,15.209569498800654
92.8,91.6,181.0,72.2,0.9,0.0,0.0
66.6,67.1,192.0,109.1,3.6,0.0,4.595269097222221
80.8,89.8,187.0,119.1,4.8,0.0,9.058737739140376
82.9,82.7,191.0,106.8,3.5,0.0,4.275513280885942
81.6,83.2,197.0,104.5,3.4,0.0,1.9267437965420378
85.2,88.3,198.0,89.4,1.9,0.0,0.0
97.6,97.2,204.0,91.5,0.9,0.0,0.0
74.2,79.0,211.0,116.4,2.0,0.0,1.1449652972754443
74.0,78.3,193.0,133.4,3.7,0.0,10.813041960858015
78.8,79.5,182.0,97.3,0.3,0.0,4.3744716821639855
79.9,78.9,192.0,127.4,0.2,0.0,9.559461805555557
81.8,83.1,194.0,91.1,4.2,0.0,0.0
81.7,85.5,193.0,96.3,4.6,0.0,0.8530430347123428
72.8,73.8,192.0,96.2,0.3,0.0,1.0959201388888893
86.5,85.3,173.0,62.4,0.6,0.0,0.0
98.7,97.2,187.0,95.7,0.7,0.0,2.3670965712488155
79.2,79.6,163.0,82.7,4.8,0.0,6.1265008092137485
76.4,80.3,164.0,67.2,3.8,0.0,0.0
91.1,90.7,186.0,86.6,5.9,0.0,0.03179558330442234
84.9,85.9,171.0,99.4,5.2,0.0,8.993365479976752
79.0,83.4,193.0,85.8,0.1,0.0,0.0
70.0,71.7,207.0,52.4,0.5,-6.271009825200121,0.0
71.6,77.4,162.0,82.6,0.7,0.0,6.47386069196768
92.6,93.4,176.0,109.3,1.0,0.0,10.28538223140496
79.6,79.7,191.0,86.6,0.2,0.0,0.0
78.4,79.2,190.0,76.9,4.8,0.0,0.0
80.2,82.0,178.0,126.5,1.9,0.0,14.925514455245548
93.3,93.2,186.0,67.0,2.1,0.0,0.0
89.6,92.6,157.0,75.2,4.5,0.0,5.508337052213072
71.9,73.9,195.0,84.0,4.0,0.0,0.0
79.4,84.1,190.0,95.7,2.6,0.0,1.5096952908587262
77.8,76.5,186.0,114.6,0.9,0.0,8.12521678806798
90.1,89.9,187.0,63.6,0.7,-0.31246246675627276,0.0
78.1,80.3,187.0,144.0,0.5,0.0,16.17933026394806
72.9,74.2,173.0,102.9,0.5,0.0,9.381369240535939
80.0,84.5,184.0,69.3,1.6,0.0,0.0
70.2,71.2,192.0,51.6,0.1,-4.502604166666666,0.0
84.8,91.9,181.0,77.9,4.6,0.0,0.0
81.4,84.8,185.0,111.8,1.8,0.0,7.666179693206715
69.7,67.5,204.0,91.6,4.2,0.0,0.0
69.4,72.0,172.0,100.6,1.2,0.0,9.004867495943756
72.5,78.2,182.0,119.6,0.8,0.0,11.106750392464676
78.6,81.7,179.0,71.2,4.7,0.0,0.0
65.9,70.2,205.0,79.9,1.2,0.0,0.0
78.7,84.4,174.0,145.8,0.6,0.0,23.156956004756246
84.6,84.8,184.0,93.1,1.7,0.0,2.4988185255198445
