lifespan,genetic,length,mass,exercise,smoking,alcohol,sugar,bmi
81.2,86.4,174.0,99.9,0.9,11.9,4.2,9.2,32.99643281807372
63.4,69.6,177.0,105.5,4.6,20.7,2.9,7.2,33.67486992881994
85.0,84.1,170.0,70.3,3.9,5.0,0.8,32.4,24.325259515570934
73.2,78.5,177.0,105.8,2.5,13.8,4.4,44.0,33.770627852788145
94.4,93.8,184.0,96.8,3.4,4.0,4.4,19.2,28.591682419659733
73.7,76.6,179.0,123.3,1.6,7.1,0.4,54.4,38.48194500795855
83.0,86.1,176.0,64.4,2.0,16.4,2.0,14.0,20.79028925619835
76.3,79.7,169.0,58.6,2.0,14.6,2.3,26.0,20.51748888344246
80.2,85.6,189.0,138.9,1.4,10.6,4.5,31.2,38.88468967834048
82.9,83.8,201.0,78.2,1.1,0.2,5.0,18.8,19.35595653572932
80.9,80.9,174.0,56.7,2.0,0.3,2.0,32.4,18.727705112960763
74.4,75.6,200.0,85.4,3.1,8.5,6.0,21.2,21.35
91.4,92.7,188.0,57.0,2.9,3.8,5.0,21.6,16.127206880941603
78.8,81.1,167.0,63.9,1.8,14.0,0.1,45.6,22.912259313707914
82.3,80.2,199.0,82.0,3.8,0.7,2.4,16.8,20.70654781444913
80.4,81.6,179.0,108.7,2.7,21.2,0.2,28.4,33.92528323086046
85.0,84.4,163.0,68.4,2.2,2.8,1.2,28.4,25.744288456471832
65.1,66.2,169.0,95.7,1.8,7.3,0.3,45.6,33.50723013900074
86.6,85.6,187.0,103.6,2.1,0.2,0.5,13.6,29.62624038434041
88.7,90.0,169.0,77.4,3.6,13.0,1.5,33.2,27.099891460383045
72.9,73.6,200.0,53.0,4.4,10.2,0.7,14.4,13.25
79.4,81.6,196.0,74.6,2.9,15.4,4.7,18.0,19.41899208663057
84.3,85.8,171.0,102.8,1.2,2.8,0.9,21.2,35.156116411887425
73.6,81.6,171.0,142.3,1.2,19.7,0.4,32.0,48.66454635614378
80.0,85.3,193.0,86.1,2.8,15.4,5.1,26.8,23.11471448897957
80.4,81.7,197.0,64.2,3.8,13.8,3.3,12.4,16.542554562086114
83.0,84.6,201.0,62.6,3.5,11.4,1.4,12.4,15.494665973614518
91.3,93.2,182.0,95.3,4.0,9.8,4.7,24.0,28.770679869580967
96.3,99.5,179.0,85.5,2.5,10.0,5.7,38.8,26.68456040697856
89.8,88.3,180.0,92.3,3.0,1.0,2.4,20.8,28.48765432098765
75.9,79.3,168.0,70.0,2.0,17.8,3.9,40.4,24.801587301587304
71.4,72.1,205.0,135.6,3.7,3.0,4.8,24.0,32.26650803093397
95.1,97.0,185.0,74.2,3.7,10.9,4.0,29.6,21.68005843681519
88.4,89.8,186.0,107.1,3.2,10.7,4.8,39.2,30.9573361082206
77.0,80.6,184.0,59.6,2.3,15.4,1.3,6.8,17.603969754253306
78.9,84.3,164.0,105.0,4.3,19.8,4.5,32.0,39.03926234384296
80.0,80.6,169.0,68.0,2.7,9.1,4.9,19.6,23.80869017191275
71.3,79.4,178.0,143.3,0.2,13.1,2.1,41.2,45.22787526827421
88.0,89.8,185.0,109.9,1.5,0.5,5.1,35.2,32.11102994886779
84.6,86.6,171.0,115.1,1.3,1.8,0.4,28.4,39.36253890085838
86.6,89.9,173.0,85.6,2.7,21.0,1.7,24.0,28.601022419726682
89.8,90.3,206.0,128.5,2.1,1.4,3.9,28.0,30.28089358092186
77.6,77.8,171.0,111.2,3.9,0.4,5.1,19.6,38.028795184843204
74.1,82.4,166.0,113.1,0.1,18.1,4.7,24.0,41.04369284366381
82.5,85.3,196.0,113.0,2.0,10.7,0.6,29.6,29.41482715535194
81.8,84.7,173.0,105.0,1.5,5.4,4.2,15.6,35.083029837281565
84.4,87.9,210.0,65.3,2.4,11.0,4.2,8.4,14.807256235827664
70.6,75.6,179.0,61.6,2.3,20.3,1.4,19.6,19.225367497893323
78.1,81.1,205.0,61.4,1.2,7.6,4.6,20.8,14.610350981558597
65.4,67.2,181.0,129.2,2.2,3.0,0.5,42.8,39.437135618570856
76.4,77.2,165.0,61.8,3.1,5.8,5.3,32.0,22.699724517906336
65.5,69.7,170.0,93.4,1.2,11.7,3.8,47.2,32.31833910034602
85.3,88.7,177.0,123.3,1.7,11.6,2.1,10.0,39.35650675093363
71.9,73.6,198.0,135.1,2.5,6.1,4.5,33.6,34.460769309254154
73.9,76.8,194.0,66.8,1.8,15.5,0.9,31.2,17.748963758103944
86.3,82.7,178.0,86.9,4.3,0.8,0.5,19.6,27.427092538820858
82.8,84.7,189.0,115.4,2.6,9.6,4.8,32.0,32.30592648582067
72.9,77.1,191.0,54.6,2.1,20.0,0.4,28.4,14.9666949919136
74.4,76.7,173.0,70.9,1.7,11.6,1.3,18.8,23.689398242507266
100.1,100.1,188.0,129.2,1.8,0.1,4.6,27.6,36.55500226346763
76.8,76.7,198.0,61.6,1.4,1.2,1.7,19.2,15.712682379349047
73.0,76.6,190.0,74.1,1.4,20.6,0.3,27.2,20.526315789473685
96.1,98.1,179.0,72.1,2.2,11.6,3.1,32.4,22.502418775943323
91.8,92.7,191.0,68.3,3.5,8.0,1.3,18.8,18.722074504536607
76.2,79.8,193.0,123.0,1.8,18.0,1.7,24.4,33.021020698542245
75.8,76.2,184.0,94.1,1.4,6.5,2.8,29.2,27.794187145557654
86.1,90.2,172.0,76.3,0.2,11.0,3.6,34.0,25.790968090859927
76.9,81.5,198.0,73.1,1.7,16.6,3.9,17.2,18.646056524844404
74.9,79.2,194.0,80.3,3.4,17.5,3.8,36.0,21.335954936762676
74.3,75.8,188.0,115.1,1.8,4.1,3.5,27.2,32.565640561339976
73.7,75.6,181.0,87.4,3.4,5.0,4.2,45.2,26.678062330209702
77.3,77.4,210.0,76.6,1.6,2.3,0.1,50.8,17.369614512471653
77.8,78.9,184.0,85.5,2.9,11.0,0.8,24.4,25.254017013232513
75.6,77.2,177.0,113.9,2.9,21.9,0.6,18.8,36.35609179992978
84.0,89.4,182.0,106.8,1.5,18.7,4.5,47.2,32.24248279193334
74.4,77.3,171.0,88.3,1.6,14.7,0.3,42.4,30.197325672856607
76.3,77.7,184.0,146.0,1.9,1.4,4.5,13.6,43.123818525519845
88.7,88.0,174.0,84.4,3.2,1.9,4.7,22.4,27.876866164618843
63.4,73.5,174.0,142.7,1.7,20.1,3.0,20.8,47.13304267406526
75.0,74.9,182.0,112.7,4.2,0.2,0.4,41.6,34.023668639053255
92.5,98.0,191.0,154.8,2.7,17.3,0.5,26.0,42.43304733971109
79.0,86.0,184.0,115.6,0.8,21.6,4.3,34.8,34.144612476370504
92.6,91.8,160.0,92.0,4.7,15.1,0.6,40.4,35.93749999999999
68.4,68.9,192.0,83.0,3.4,6.1,2.6,32.0,22.51519097222222
77.3,81.7,163.0,110.3,1.4,16.8,4.8,14.4,41.514547028491855
90.2,91.7,178.0,70.8,0.9,7.5,1.2,28.0,22.345663426335058
75.3,78.7,173.0,96.5,1.7,8.9,0.4,19.2,32.2429750409302
71.1,69.5,171.0,55.0,4.0,0.6,0.7,31.6,18.80920625149619
72.3,76.3,209.0,82.9,1.5,16.6,0.5,28.4,18.97850323939471
77.7,78.3,169.0,113.5,1.7,0.2,1.0,24.8,39.73950491929555
81.1,86.3,185.0,66.4,2.3,19.1,0.9,41.6,19.401022644265886
81.0,82.2,205.0,94.6,2.8,6.9,5.3,17.6,22.51041046995836
80.8,84.3,177.0,96.1,1.3,9.6,5.3,28.4,30.674454977816076
62.7,73.3,198.0,159.5,1.7,19.4,4.6,28.4,40.684624017957354
81.8,80.0,176.0,74.3,5.4,5.0,1.5,22.4,23.986311983471076
80.6,79.5,198.0,60.7,2.4,3.4,5.4,12.8,15.483113967962455
70.5,74.1,202.0,91.5,1.4,18.7,0.9,32.0,22.424272130183315
87.7,88.7,181.0,79.4,1.8,4.5,0.3,53.2,24.23613442813101
84.3,86.8,196.0,96.9,2.0,12.4,3.9,20.4,25.223865056226575
73.9,76.7,172.0,107.4,3.1,9.6,3.5,42.0,36.303407247160635
83.2,84.5,178.0,56.0,3.2,13.8,0.8,27.2,17.67453604342886
80.2,80.4,184.0,51.0,1.5,1.1,0.5,23.2,15.063799621928165
81.6,81.8,172.0,98.8,3.0,3.7,5.0,36.8,33.39643050297458
73.7,75.5,171.0,97.9,1.3,7.6,0.3,9.2,33.48038712766322
88.0,91.4,188.0,97.6,1.3,14.1,4.3,26.8,27.61430511543685
89.6,93.7,192.0,64.5,2.6,18.4,5.1,25.2,17.496744791666668
86.9,86.2,197.0,97.5,3.6,1.0,4.1,12.8,25.12303847045788
81.0,82.6,200.0,102.7,1.7,10.1,2.7,9.2,25.675
72.2,71.6,191.0,110.5,5.3,12.7,3.6,14.8,30.289739864587045
70.8,75.9,187.0,66.0,2.0,16.1,4.2,32.8,18.873859704309528
89.8,93.2,163.0,112.5,4.7,12.8,0.7,28.0,42.342579698144455
79.9,86.0,167.0,119.1,3.3,20.2,0.4,24.8,42.705009143389866
84.0,83.8,199.0,57.3,1.8,0.1,1.1,12.8,14.469331582535792
79.2,84.3,170.0,108.9,3.5,18.6,1.0,18.0,37.681660899653984
86.5,90.5,179.0,65.5,2.1,11.8,0.9,3.2,20.44255797259761
71.9,75.7,203.0,60.8,2.5,17.9,0.8,24.8,14.754058579436535
85.6,92.1,192.0,83.3,1.6,21.6,0.2,34.8,22.596571180555557
71.1,73.0,191.0,82.9,2.6,10.7,0.1,28.0,22.724157780762592
72.5,77.0,179.0,138.8,2.6,21.6,0.2,17.6,43.319496894603795
81.0,81.1,173.0,53.9,1.9,0.2,5.0,35.6,18.009288649804535
90.0,92.6,201.0,108.7,2.3,12.2,3.5,47.6,26.905274621915307
77.4,85.5,209.0,74.6,0.5,20.7,3.8,9.6,17.07836359057714
77.0,80.0,184.0,118.0,2.4,15.3,0.9,36.4,34.853497164461245
80.0,84.6,187.0,62.3,2.3,19.9,0.5,30.8,17.815779690583085
72.6,76.2,175.0,59.1,1.8,17.5,0.4,24.0,19.29795918367347
79.4,84.0,191.0,69.0,1.9,13.0,5.3,33.2,18.91395520956114
82.2,85.3,178.0,103.3,0.7,9.9,0.9,48.8,32.60320666582502
72.5,77.2,175.0,106.5,3.3,19.0,1.7,36.4,34.775510204081634
62.9,65.3,190.0,50.5,1.0,7.4,2.3,18.0,13.988919667590029
75.5,80.1,193.0,79.0,2.5,15.4,4.2,22.8,21.20862305028323
82.6,83.7,204.0,129.2,1.8,6.3,4.2,11.2,31.045751633986924
83.3,84.8,183.0,108.4,4.6,11.3,0.4,28.8,32.36883752874078
92.0,92.7,175.0,122.6,1.8,0.0,0.8,16.0,40.03265306122449
75.8,79.8,172.0,148.5,2.3,5.4,0.7,38.8,50.19605191995674
77.2,75.9,206.0,83.8,2.1,3.0,0.4,10.4,19.747384296352156
82.4,85.0,166.0,90.1,3.1,18.1,0.2,14.4,32.6970532733343
89.6,91.5,177.0,107.1,3.7,14.1,3.2,12.4,34.18557885665038
88.7,86.1,182.0,66.3,3.9,0.9,0.2,12.4,20.015698587127158
74.7,77.3,193.0,114.8,2.1,8.2,0.9,36.0,30.819619318639425
78.8,81.3,175.0,50.4,2.3,13.2,1.7,47.2,16.457142857142856
85.6,83.5,177.0,63.8,4.2,4.5,0.7,9.2,20.364518497238976
84.2,83.6,200.0,107.2,1.8,0.4,1.0,37.2,26.8
73.6,78.8,181.0,94.4,3.7,16.8,5.3,9.2,28.814749244528556
78.3,81.1,175.0,51.4,0.5,9.8,4.1,11.6,16.783673469387754
78.6,78.0,185.0,72.9,3.1,4.4,3.7,48.8,21.300219138056974
64.2,67.1,181.0,98.8,1.5,12.2,0.7,22.8,30.157809590671835
79.3,78.6,179.0,52.9,3.6,4.5,0.4,11.2,16.510096438937612
81.6,85.5,196.0,131.7,1.9,11.3,1.5,33.2,34.282590587255314
80.2,83.2,191.0,73.5,2.8,15.3,0.4,4.8,20.147474027576
86.9,91.0,183.0,63.3,1.0,13.9,4.9,35.2,18.901728925915968
76.3,78.2,172.0,76.0,2.1,12.5,2.4,34.4,25.689561925365066
79.5,77.3,189.0,128.9,4.5,0.1,1.0,21.6,36.085215979395876
75.6,78.7,201.0,68.3,2.3,16.4,0.7,28.0,16.90552214054108
95.8,98.5,188.0,105.9,0.8,0.1,4.6,32.0,29.96265278406519
78.5,79.3,191.0,61.8,4.5,7.6,3.9,36.4,16.94032510073737
65.3,72.4,166.0,125.2,1.4,19.5,1.7,31.6,45.43475105240238
77.0,80.8,170.0,94.3,1.1,15.8,1.6,18.0,32.62975778546713
72.1,77.8,168.0,112.1,0.7,17.7,0.3,40.0,39.71797052154196
92.2,91.1,166.0,64.2,2.7,1.4,2.2,23.6,23.29801132239803
71.9,75.0,199.0,136.9,1.5,10.5,4.2,15.6,34.56983409509861
72.8,79.3,179.0,68.2,2.9,17.9,4.0,14.8,21.285228301239037
73.1,76.3,194.0,70.6,1.4,17.1,0.5,46.4,18.758635349133808
73.5,75.3,199.0,105.8,2.8,8.5,2.9,31.2,26.716497058155095
69.6,68.2,186.0,79.3,2.4,0.8,0.4,20.4,22.92172505491964
85.8,87.7,192.0,91.2,2.6,9.6,2.0,37.2,24.739583333333336
62.8,64.2,174.0,101.9,1.8,2.6,5.1,16.4,33.657022063680806
75.6,75.3,180.0,84.3,3.4,5.9,1.0,14.4,26.018518518518515
72.3,74.0,178.0,68.4,1.4,7.4,2.4,22.4,21.588183310188107
78.8,80.7,172.0,138.2,4.3,5.8,4.3,19.2,46.71444023796647
78.2,81.8,187.0,57.9,2.9,20.6,0.3,16.8,16.55752237696245
77.2,81.8,181.0,118.6,2.4,13.3,4.4,14.0,36.20158114831659
78.7,81.7,184.0,79.0,2.3,11.7,2.9,22.4,23.334120982986768
77.8,80.1,175.0,110.0,3.1,13.9,0.8,41.6,35.91836734693877
79.2,81.7,181.0,94.4,1.6,7.6,2.4,34.8,28.814749244528556
87.2,86.5,170.0,83.6,1.3,0.1,2.8,10.0,28.92733564013841
91.9,96.3,186.0,83.9,1.1,18.1,0.5,30.4,24.25135853855937
83.8,83.1,171.0,103.5,4.5,0.9,5.6,16.4,35.39550630963374
68.1,73.1,169.0,79.1,3.1,16.4,5.2,26.4,27.69510871468086
81.6,78.8,187.0,69.9,4.4,1.2,5.2,12.4,19.989133232291458
81.2,82.2,189.0,90.3,3.4,14.8,0.6,32.0,25.279247501469722
90.8,91.3,181.0,88.0,1.5,2.0,1.1,44.8,26.861206922865602
71.5,75.9,176.0,89.2,2.4,17.6,0.6,44.8,28.79648760330579
76.8,81.8,181.0,156.3,1.2,9.4,5.6,12.4,47.70916638686243
79.1,80.2,187.0,66.5,1.2,4.5,2.1,23.6,19.016843489948236
71.5,74.9,211.0,113.0,2.5,19.3,1.5,36.0,25.3812807439186
95.4,94.7,187.0,57.8,3.7,3.3,3.1,31.2,16.52892561983471
69.1,72.2,207.0,113.0,1.5,10.6,5.4,25.2,26.371677285350888
85.6,84.1,195.0,68.6,2.0,0.2,1.1,8.8,18.040762656147272
76.9,81.0,185.0,67.7,2.7,19.8,0.7,33.6,19.780861943024103
92.2,91.9,164.0,75.0,3.0,2.4,3.9,12.8,27.885187388459254
86.3,89.4,164.0,121.6,1.9,5.1,3.7,25.6,45.21118381915527
83.5,83.8,199.0,99.2,2.3,4.3,1.1,33.6,25.049872477967728
77.0,80.3,187.0,105.6,2.0,13.0,0.2,12.4,30.198175526895245
69.4,75.3,187.0,110.9,1.7,20.7,0.4,14.4,31.713803654665558
73.1,72.3,175.0,69.4,4.1,12.0,3.2,24.8,22.66122448979592
84.3,84.2,183.0,88.8,2.2,0.5,1.9,30.4,26.516169488488753
93.2,94.1,196.0,128.7,2.7,4.5,0.5,30.4,33.501665972511454
71.5,72.5,192.0,89.3,4.5,17.1,0.8,14.0,24.22417534722222
92.6,96.6,187.0,108.0,2.6,16.9,3.9,32.0,30.884497697961045
76.2,78.2,184.0,124.3,1.1,5.9,0.5,7.2,36.71431947069943
71.5,76.5,172.0,53.4,1.0,17.5,0.8,12.0,18.050297458085453
72.9,74.3,186.0,61.3,2.2,9.7,1.4,16.0,17.718811423285924
82.0,85.7,155.0,105.7,1.9,9.0,3.5,12.8,43.99583766909469
79.3,81.1,191.0,84.0,0.9,7.4,4.2,31.2,23.025684602944
61.2,67.4,169.0,108.0,1.5,10.2,5.2,6.4,37.813802037743784
85.0,86.7,184.0,103.9,3.6,6.6,2.5,32.8,30.688799621928165
78.9,81.2,202.0,117.1,1.9,11.2,1.7,13.6,28.698166846387608
75.9,78.7,185.0,65.8,2.8,17.7,0.1,25.2,19.22571219868517
81.6,88.0,180.0,72.4,2.1,19.8,0.8,27.6,22.34567901234568
80.8,84.6,172.0,88.8,1.4,6.9,5.7,33.2,30.01622498647918
80.2,80.5,186.0,53.6,1.7,2.2,0.8,33.6,15.493120591975948
79.0,82.0,191.0,127.9,3.2,16.6,3.5,10.0,35.05934596091116
78.7,80.2,177.0,97.7,2.3,7.5,0.6,22.0,31.185163905646522
75.7,77.6,197.0,89.7,1.3,3.8,4.4,28.4,23.113195392821254
78.5,81.3,156.0,76.6,0.5,2.4,5.3,20.8,31.47600262984878
76.7,75.8,189.0,95.3,2.8,2.0,4.9,15.2,26.678984350942024
78.3,81.5,196.0,77.4,2.6,18.1,0.1,18.0,20.147855060391507
68.2,66.8,186.0,96.4,2.8,1.5,5.1,20.0,27.86449300497167
85.3,91.7,177.0,113.5,2.1,22.1,3.6,12.4,36.228414567972166
77.0,81.7,189.0,115.7,0.2,14.6,2.1,30.0,32.38991069678901
71.5,72.3,205.0,74.4,1.2,4.3,1.1,35.2,17.70374776918501
76.6,75.2,196.0,54.5,3.1,2.5,4.3,34.8,14.186797167846732
97.6,101.6,164.0,92.7,2.6,18.5,1.3,11.6,34.46609161213564
84.3,83.9,203.0,93.5,3.3,6.8,0.0,36.8,22.689218374626908
97.6,100.5,173.0,97.4,1.8,16.0,1.0,22.8,32.543686725249756
67.7,69.1,192.0,114.4,1.1,2.1,2.8,21.6,31.032986111111114
78.3,82.6,183.0,101.2,3.6,19.9,0.4,24.8,30.218877840484932
73.8,75.1,168.0,87.5,2.0,4.5,1.9,36.0,31.00198412698413
88.3,91.9,200.0,91.2,1.3,7.9,3.7,16.4,22.8
87.9,90.3,166.0,131.6,2.2,2.0,3.4,9.2,47.757294237189726
78.5,81.9,182.0,54.6,0.4,11.7,1.0,13.2,16.483516483516482
81.0,84.8,180.0,143.5,0.8,4.4,4.6,16.8,44.29012345679012
96.5,97.1,199.0,114.7,3.1,7.8,2.2,25.6,28.963915052650187
78.9,86.7,199.0,75.0,1.1,17.4,5.4,15.2,18.938915683947375
76.2,78.7,187.0,58.4,2.1,14.2,1.4,31.6,16.700506162601158
87.9,90.8,187.0,88.0,1.0,5.2,4.3,18.0,25.165146272412706
64.3,66.4,181.0,92.1,1.1,4.5,4.4,16.8,28.11269497268093
74.5,80.1,161.0,114.1,2.8,19.0,1.1,34.4,44.018363489062914
80.6,81.6,179.0,57.6,1.7,9.4,0.4,22.8,17.976967011017134
78.6,83.0,211.0,65.4,1.1,17.7,0.4,20.8,14.689696996922804
71.8,73.0,171.0,112.1,2.1,3.8,0.1,40.4,38.33658219623132
75.9,75.2,198.0,85.1,3.8,17.6,0.3,22.8,21.706968676665646
78.5,80.1,191.0,98.5,4.0,12.9,0.2,27.2,27.00035634988076
70.6,74.8,180.0,112.0,1.8,16.6,1.6,13.2,34.5679012345679
97.9,98.0,188.0,95.2,3.7,12.7,0.7,16.0,26.935264825712995
77.9,77.9,179.0,98.8,2.1,4.0,4.3,15.2,30.83549202584189
62.1,67.9,170.0,71.7,2.9,20.6,0.5,22.4,24.809688581314884
89.0,91.1,200.0,97.0,2.3,6.4,5.5,37.6,24.25
81.7,81.6,172.0,77.5,4.9,18.2,3.2,34.8,26.196592752839376
80.4,83.4,191.0,84.4,3.3,21.6,2.9,25.6,23.135330720100878
79.8,79.0,187.0,50.4,2.1,1.1,0.4,13.2,14.41276559238182
83.8,85.8,179.0,141.5,5.3,14.7,2.2,15.6,44.16216722324522
74.5,74.5,166.0,67.9,2.7,4.5,4.4,11.2,24.640731601103212
71.6,75.4,170.0,90.9,3.9,19.5,0.5,38.8,31.45328719723184
90.0,91.0,190.0,139.4,1.7,0.5,0.7,38.0,38.61495844875346
75.9,76.8,205.0,110.6,4.1,12.2,4.6,27.2,26.317668054729328
78.5,83.5,175.0,115.7,1.7,14.4,5.0,21.6,37.779591836734696
88.8,92.5,180.0,63.7,1.9,18.8,0.8,16.8,19.660493827160494
78.5,81.8,173.0,95.5,0.4,17.6,1.2,37.2,31.908850947241806
93.2,95.4,173.0,86.0,0.9,10.5,0.6,24.0,28.734672057202044
81.8,83.9,196.0,77.3,4.1,14.4,4.7,10.4,20.121824239900043
71.6,75.1,158.0,114.2,1.0,5.3,0.3,15.2,45.74587405864444
72.7,79.4,172.0,67.1,1.2,16.2,2.1,16.4,22.681179015684155
93.4,92.7,204.0,106.8,3.3,2.8,0.2,20.0,25.66320645905421
77.5,82.8,182.0,84.7,2.1,17.5,4.7,24.0,25.570583262890953
90.8,90.8,173.0,76.4,3.3,6.7,1.5,16.0,25.527080757793446
85.0,83.5,207.0,64.7,3.4,0.7,2.2,18.4,15.09953557842657
87.2,89.6,173.0,82.8,2.7,10.6,4.8,40.4,27.665474957399177
72.8,74.3,179.0,84.4,1.7,4.3,5.2,8.0,26.34125027308761
72.3,72.7,179.0,87.8,1.6,2.4,0.8,39.2,27.402390686932367
85.6,87.1,175.0,87.5,1.1,8.3,3.6,8.0,28.571428571428573
74.0,72.4,183.0,83.7,3.2,0.9,0.5,40.0,24.9932813759742
87.9,94.3,176.0,90.6,1.9,14.8,5.0,43.2,29.24845041322314
86.5,86.6,195.0,57.3,1.9,3.1,4.1,18.4,15.069033530571993
87.1,89.6,186.0,102.1,3.5,16.7,1.3,34.8,29.512082321655676
81.6,83.8,188.0,63.2,5.3,14.9,5.0,9.6,17.88139429606157
76.5,79.1,198.0,97.5,3.9,16.2,0.9,38.0,24.869911233547597
89.0,89.8,190.0,53.2,2.6,14.0,0.6,29.6,14.73684210526316
81.0,83.8,175.0,121.5,3.0,1.4,5.6,36.0,39.673469387755105
75.3,76.5,197.0,50.9,3.7,9.5,1.0,37.6,13.115514442526218
80.2,83.0,195.0,161.9,2.4,4.9,5.7,33.2,42.577251808021046
89.9,88.3,174.0,69.9,2.4,0.3,2.1,14.8,23.0875941339675
101.6,102.2,205.0,77.5,1.3,5.1,3.5,25.2,18.441403926234386
81.4,82.9,184.0,61.6,1.4,6.2,0.7,10.4,18.19470699432892
78.9,80.6,188.0,105.3,5.2,20.2,0.3,16.0,29.792892711634224
66.9,68.2,177.0,77.1,3.2,3.9,3.2,42.8,24.609786459829547
88.1,88.0,182.0,73.9,4.2,9.5,0.4,27.6,22.31010747494264
84.1,88.5,180.0,128.7,3.6,17.4,1.9,54.4,39.722222222222214
92.6,93.3,180.0,124.8,3.6,0.7,2.4,24.4,38.51851851851851
75.9,78.4,188.0,132.3,2.8,13.3,4.5,19.2,37.43209597102762
81.0,78.9,175.0,63.0,3.4,0.9,3.5,37.2,20.571428571428573
86.8,91.4,171.0,50.9,1.8,18.5,0.3,10.8,17.4070654218392
84.1,82.7,189.0,85.9,2.8,0.4,0.7,37.2,24.047479073934102
84.2,84.4,178.0,80.6,1.9,2.6,3.9,28.4,25.438707233935105
78.2,79.5,198.0,106.8,0.7,2.7,1.3,23.2,27.24211815120906
84.5,89.2,192.0,145.3,2.6,14.2,2.0,46.4,39.41514756944445
69.9,76.1,184.0,139.8,0.2,12.7,2.8,33.6,41.29253308128545
92.4,93.0,187.0,87.6,0.8,3.2,0.3,17.6,25.050759243901737
72.3,73.1,187.0,97.7,2.3,5.8,1.2,10.8,27.93903171380365
76.0,77.2,192.0,75.8,0.5,4.7,1.3,15.2,20.56206597222222
78.4,83.2,178.0,96.4,1.6,17.6,1.2,31.2,30.42545133190254
91.7,93.1,208.0,124.2,0.6,4.4,0.4,8.4,28.707470414201183
79.6,78.3,185.0,82.7,5.1,14.9,0.4,11.2,24.163623082542
87.7,84.0,188.0,101.2,5.4,4.3,1.3,9.2,28.632865550022636
84.2,86.8,165.0,116.9,3.7,18.0,1.1,25.6,42.9384756657484
86.4,86.3,199.0,84.6,1.6,2.9,0.4,12.0,21.36309689149264
91.8,93.0,165.0,95.4,3.6,15.0,0.4,26.4,35.041322314049594
