lifespan,genetic,length,mass,exercise,alcohol,sugar,bmi under,bmi over,bmi obese,bmi morbid,smoking few,smoking some,smoking more,smoking alot,smoking most
71.2,73.1,171.0,121.9,4.1,5.6,9.6,False,False,False,True,True,False,False,False,False
64.9,68.3,190.0,81.8,1.6,0.3,21.6,False,True,False,False,False,False,False,True,False
77.5,82.5,179.0,122.9,1.2,5.7,30.4,False,False,False,True,False,False,True,False,False
62.9,72.6,159.0,105.5,2.2,5.6,39.6,False,False,False,True,False,False,False,True,False
87.9,89.4,189.0,63.7,1.8,2.3,23.6,True,False,False,False,True,False,False,False,False
75.5,76.6,184.0,56.9,2.4,4.6,20.4,True,False,False,False,True,False,False,False,False
79.1,78.1,201.0,87.1,3.5,4.9,34.0,False,True,False,False,True,False,False,False,False
72.7,79.3,169.0,127.7,1.6,1.5,34.0,False,False,False,True,False,False,False,True,False
99.5,101.0,174.0,103.9,2.4,5.2,42.8,False,False,False,True,True,False,False,False,False
80.3,81.9,162.0,87.9,1.8,5.1,44.0,False,False,False,True,False,False,False,True,False
71.5,74.0,176.0,79.5,3.9,4.3,32.8,False,False,True,False,False,False,False,False,True
83.1,85.5,208.0,129.9,1.2,4.5,16.0,False,False,False,True,True,False,False,False,False
85.0,85.3,204.0,72.9,1.2,1.5,35.6,True,False,False,False,True,False,False,False,False
93.6,94.1,176.0,97.0,3.0,1.3,22.4,False,False,False,True,True,False,False,False,False
89.7,94.2,192.0,98.5,1.2,2.2,31.6,False,False,True,False,False,False,False,True,False
76.8,79.6,177.0,81.3,1.2,2.0,32.8,False,False,True,False,False,False,True,False,False
88.9,91.0,178.0,137.6,3.5,2.1,33.2,False,False,False,True,False,True,False,False,False
81.2,86.4,174.0,99.9,0.9,4.2,9.2,False,False,False,True,False,False,True,False,False
63.4,69.6,177.0,105.5,4.6,2.9,7.2,False,False,False,True,False,False,False,False,True
85.0,84.1,170.0,70.3,3.9,0.8,32.4,False,True,False,False,True,False,False,False,False
73.2,78.5,177.0,105.8,2.5,4.4,44.0,False,False,False,True,False,False,True,False,False
94.4,93.8,184.0,96.8,3.4,4.4,19.2,False,False,True,False,True,False,False,False,False
73.7,76.6,179.0,123.3,1.6,0.4,54.4,False,False,False,True,False,True,False,False,False
83.0,86.1,176.0,64.4,2.0,2.0,14.0,False,True,False,False,False,False,False,True,False
76.3,79.7,169.0,58.6,2.0,2.3,26.0,False,True,False,False,False,False,True,False,False
80.2,85.6,189.0,138.9,1.4,4.5,31.2,False,False,False,True,False,False,True,False,False
82.9,83.8,201.0,78.2,1.1,5.0,18.8,False,True,False,False,True,False,False,False,False
80.9,80.9,174.0,56.7,2.0,2.0,32.4,False,True,False,False,True,False,False,False,False
74.4,75.6,200.0,85.4,3.1,6.0,21.2,False,True,False,False,False,True,False,False,False
91.4,92.7,188.0,57.0,2.9,5.0,21.6,True,False,False,False,True,False,False,False,False
78.8,81.1,167.0,63.9,1.8,0.1,45.6,False,True,False,False,False,False,True,False,False
82.3,80.2,199.0,82.0,3.8,2.4,16.8,False,True,False,False,True,False,False,False,False
80.4,81.6,179.0,108.7,2.7,0.2,28.4,False,False,False,True,False,False,False,False,True
85.0,84.4,163.0,68.4,2.2,1.2,28.4,False,False,True,False,True,False,False,False,False
65.1,66.2,169.0,95.7,1.8,0.3,45.6,False,False,False,True,False,True,False,False,False
86.6,85.6,187.0,103.6,2.1,0.5,13.6,False,False,True,False,True,False,False,False,False
88.7,90.0,169.0,77.4,3.6,1.5,33.2,False,False,True,False,False,False,True,False,False
72.9,73.6,200.0,53.0,4.4,0.7,14.4,True,False,False,False,False,False,True,False,False
79.4,81.6,196.0,74.6,2.9,4.7,18.0,False,True,False,False,False,False,False,True,False
84.3,85.8,171.0,102.8,1.2,0.9,21.2,False,False,False,True,True,False,False,False,False
73.6,81.6,171.0,142.3,1.2,0.4,32.0,False,False,False,True,False,False,False,True,False
80.0,85.3,193.0,86.1,2.8,5.1,26.8,False,True,False,False,False,False,False,True,False
80.4,81.7,197.0,64.2,3.8,3.3,12.4,True,False,False,False,False,False,True,False,False
83.0,84.6,201.0,62.6,3.5,1.4,12.4,True,False,False,False,False,False,True,False,False
91.3,93.2,182.0,95.3,4.0,4.7,24.0,False,False,True,False,False,True,False,False,False
96.3,99.5,179.0,85.5,2.5,5.7,38.8,False,False,True,False,False,True,False,False,False
89.8,88.3,180.0,92.3,3.0,2.4,20.8,False,False,True,False,True,False,False,False,False
75.9,79.3,168.0,70.0,2.0,3.9,40.4,False,True,False,False,False,False,False,True,False
71.4,72.1,205.0,135.6,3.7,4.8,24.0,False,False,False,True,True,False,False,False,False
95.1,97.0,185.0,74.2,3.7,4.0,29.6,False,True,False,False,False,False,True,False,False
88.4,89.8,186.0,107.1,3.2,4.8,39.2,False,False,False,True,False,False,True,False,False
77.0,80.6,184.0,59.6,2.3,1.3,6.8,True,False,False,False,False,False,False,True,False
78.9,84.3,164.0,105.0,4.3,4.5,32.0,False,False,False,True,False,False,False,True,False
80.0,80.6,169.0,68.0,2.7,4.9,19.6,False,True,False,False,False,True,False,False,False
71.3,79.4,178.0,143.3,0.2,2.1,41.2,False,False,False,True,False,False,True,False,False
88.0,89.8,185.0,109.9,1.5,5.1,35.2,False,False,False,True,True,False,False,False,False
84.6,86.6,171.0,115.1,1.3,0.4,28.4,False,False,False,True,True,False,False,False,False
86.6,89.9,173.0,85.6,2.7,1.7,24.0,False,False,True,False,False,False,False,False,True
89.8,90.3,206.0,128.5,2.1,3.9,28.0,False,False,False,True,True,False,False,False,False
77.6,77.8,171.0,111.2,3.9,5.1,19.6,False,False,False,True,True,False,False,False,False
74.1,82.4,166.0,113.1,0.1,4.7,24.0,False,False,False,True,False,False,False,True,False
82.5,85.3,196.0,113.0,2.0,0.6,29.6,False,False,True,False,False,False,True,False,False
81.8,84.7,173.0,105.0,1.5,4.2,15.6,False,False,False,True,False,True,False,False,False
84.4,87.9,210.0,65.3,2.4,4.2,8.4,True,False,False,False,False,False,True,False,False
70.6,75.6,179.0,61.6,2.3,1.4,19.6,False,True,False,False,False,False,False,False,True
78.1,81.1,205.0,61.4,1.2,4.6,20.8,True,False,False,False,False,True,False,False,False
65.4,67.2,181.0,129.2,2.2,0.5,42.8,False,False,False,True,True,False,False,False,False
76.4,77.2,165.0,61.8,3.1,5.3,32.0,False,True,False,False,False,True,False,False,False
65.5,69.7,170.0,93.4,1.2,3.8,47.2,False,False,False,True,False,False,True,False,False
85.3,88.7,177.0,123.3,1.7,2.1,10.0,False,False,False,True,False,False,True,False,False
71.9,73.6,198.0,135.1,2.5,4.5,33.6,False,False,False,True,False,True,False,False,False
73.9,76.8,194.0,66.8,1.8,0.9,31.2,True,False,False,False,False,False,False,True,False
86.3,82.7,178.0,86.9,4.3,0.5,19.6,False,False,True,False,True,False,False,False,False
82.8,84.7,189.0,115.4,2.6,4.8,32.0,False,False,False,True,False,True,False,False,False
72.9,77.1,191.0,54.6,2.1,0.4,28.4,True,False,False,False,False,False,False,True,False
74.4,76.7,173.0,70.9,1.7,1.3,18.8,False,True,False,False,False,False,True,False,False
100.1,100.1,188.0,129.2,1.8,4.6,27.6,False,False,False,True,True,False,False,False,False
76.8,76.7,198.0,61.6,1.4,1.7,19.2,True,False,False,False,True,False,False,False,False
73.0,76.6,190.0,74.1,1.4,0.3,27.2,False,True,False,False,False,False,False,False,True
96.1,98.1,179.0,72.1,2.2,3.1,32.4,False,True,False,False,False,False,True,False,False
91.8,92.7,191.0,68.3,3.5,1.3,18.8,False,True,False,False,False,True,False,False,False
76.2,79.8,193.0,123.0,1.8,1.7,24.4,False,False,False,True,False,False,False,True,False
75.8,76.2,184.0,94.1,1.4,2.8,29.2,False,False,True,False,False,True,False,False,False
86.1,90.2,172.0,76.3,0.2,3.6,34.0,False,False,True,False,False,False,True,False,False
76.9,81.5,198.0,73.1,1.7,3.9,17.2,False,True,False,False,False,False,False,True,False
74.9,79.2,194.0,80.3,3.4,3.8,36.0,False,True,False,False,False,False,False,True,False
74.3,75.8,188.0,115.1,1.8,3.5,27.2,False,False,False,True,True,False,False,False,False
73.7,75.6,181.0,87.4,3.4,4.2,45.2,False,False,True,False,True,False,False,False,False
77.3,77.4,210.0,76.6,1.6,0.1,50.8,True,False,False,False,True,False,False,False,False
77.8,78.9,184.0,85.5,2.9,0.8,24.4,False,False,True,False,False,False,True,False,False
75.6,77.2,177.0,113.9,2.9,0.6,18.8,False,False,False,True,False,False,False,False,True
84.0,89.4,182.0,106.8,1.5,4.5,47.2,False,False,False,True,False,False,False,True,False
74.4,77.3,171.0,88.3,1.6,0.3,42.4,False,False,False,True,False,False,True,False,False
76.3,77.7,184.0,146.0,1.9,4.5,13.6,False,False,False,True,True,False,False,False,False
88.7,88.0,174.0,84.4,3.2,4.7,22.4,False,False,True,False,True,False,False,False,False
63.4,73.5,174.0,142.7,1.7,3.0,20.8,False,False,False,True,False,False,False,False,True
75.0,74.9,182.0,112.7,4.2,0.4,41.6,False,False,False,True,True,False,False,False,False
92.5,98.0,191.0,154.8,2.7,0.5,26.0,False,False,False,True,False,False,False,True,False
79.0,86.0,184.0,115.6,0.8,4.3,34.8,False,False,False,True,False,False,False,False,True
92.6,91.8,160.0,92.0,4.7,0.6,40.4,False,False,False,True,False,False,False,True,False
68.4,68.9,192.0,83.0,3.4,2.6,32.0,False,True,False,False,False,True,False,False,False
77.3,81.7,163.0,110.3,1.4,4.8,14.4,False,False,False,True,False,False,False,True,False
90.2,91.7,178.0,70.8,0.9,1.2,28.0,False,True,False,False,False,True,False,False,False
75.3,78.7,173.0,96.5,1.7,0.4,19.2,False,False,False,True,False,True,False,False,False
71.1,69.5,171.0,55.0,4.0,0.7,31.6,False,True,False,False,True,False,False,False,False
72.3,76.3,209.0,82.9,1.5,0.5,28.4,False,True,False,False,False,False,False,True,False
77.7,78.3,169.0,113.5,1.7,1.0,24.8,False,False,False,True,True,False,False,False,False
81.1,86.3,185.0,66.4,2.3,0.9,41.6,False,True,False,False,False,False,False,True,False
81.0,82.2,205.0,94.6,2.8,5.3,17.6,False,True,False,False,False,True,False,False,False
80.8,84.3,177.0,96.1,1.3,5.3,28.4,False,False,False,True,False,True,False,False,False
62.7,73.3,198.0,159.5,1.7,4.6,28.4,False,False,False,True,False,False,False,True,False
81.8,80.0,176.0,74.3,5.4,1.5,22.4,False,True,False,False,True,False,False,False,False
80.6,79.5,198.0,60.7,2.4,5.4,12.8,True,False,False,False,True,False,False,False,False
70.5,74.1,202.0,91.5,1.4,0.9,32.0,False,True,False,False,False,False,False,True,False
87.7,88.7,181.0,79.4,1.8,0.3,53.2,False,True,False,False,True,False,False,False,False
84.3,86.8,196.0,96.9,2.0,3.9,20.4,False,False,True,False,False,False,True,False,False
73.9,76.7,172.0,107.4,3.1,3.5,42.0,False,False,False,True,False,True,False,False,False
83.2,84.5,178.0,56.0,3.2,0.8,27.2,True,False,False,False,False,False,True,False,False
80.2,80.4,184.0,51.0,1.5,0.5,23.2,True,False,False,False,True,False,False,False,False
81.6,81.8,172.0,98.8,3.0,5.0,36.8,False,False,False,True,True,False,False,False,False
73.7,75.5,171.0,97.9,1.3,0.3,9.2,False,False,False,True,False,True,False,False,False
88.0,91.4,188.0,97.6,1.3,4.3,26.8,False,False,True,False,False,False,True,False,False
89.6,93.7,192.0,64.5,2.6,5.1,25.2,True,False,False,False,False,False,False,True,False
86.9,86.2,197.0,97.5,3.6,4.1,12.8,False,False,True,False,True,False,False,False,False
81.0,82.6,200.0,102.7,1.7,2.7,9.2,False,False,True,False,False,False,True,False,False
72.2,71.6,191.0,110.5,5.3,3.6,14.8,False,False,False,True,False,False,True,False,False
70.8,75.9,187.0,66.0,2.0,4.2,32.8,False,True,False,False,False,False,False,True,False
89.8,93.2,163.0,112.5,4.7,0.7,28.0,False,False,False,True,False,False,True,False,False
79.9,86.0,167.0,119.1,3.3,0.4,24.8,False,False,False,True,False,False,False,False,True
84.0,83.8,199.0,57.3,1.8,1.1,12.8,True,False,False,False,True,False,False,False,False
79.2,84.3,170.0,108.9,3.5,1.0,18.0,False,False,False,True,False,False,False,True,False
86.5,90.5,179.0,65.5,2.1,0.9,3.2,False,True,False,False,False,False,True,False,False
71.9,75.7,203.0,60.8,2.5,0.8,24.8,True,False,False,False,False,False,False,True,False
85.6,92.1,192.0,83.3,1.6,0.2,34.8,False,True,False,False,False,False,False,False,True
71.1,73.0,191.0,82.9,2.6,0.1,28.0,False,True,False,False,False,False,True,False,False
72.5,77.0,179.0,138.8,2.6,0.2,17.6,False,False,False,True,False,False,False,False,True
81.0,81.1,173.0,53.9,1.9,5.0,35.6,True,False,False,False,True,False,False,False,False
90.0,92.6,201.0,108.7,2.3,3.5,47.6,False,False,True,False,False,False,True,False,False
77.4,85.5,209.0,74.6,0.5,3.8,9.6,True,False,False,False,False,False,False,False,True
77.0,80.0,184.0,118.0,2.4,0.9,36.4,False,False,False,True,False,False,False,True,False
80.0,84.6,187.0,62.3,2.3,0.5,30.8,True,False,False,False,False,False,False,True,False
72.6,76.2,175.0,59.1,1.8,0.4,24.0,False,True,False,False,False,False,False,True,False
79.4,84.0,191.0,69.0,1.9,5.3,33.2,False,True,False,False,False,False,True,False,False
82.2,85.3,178.0,103.3,0.7,0.9,48.8,False,False,False,True,False,True,False,False,False
72.5,77.2,175.0,106.5,3.3,1.7,36.4,False,False,False,True,False,False,False,True,False
62.9,65.3,190.0,50.5,1.0,2.3,18.0,True,False,False,False,False,True,False,False,False
75.5,80.1,193.0,79.0,2.5,4.2,22.8,False,True,False,False,False,False,False,True,False
82.6,83.7,204.0,129.2,1.8,4.2,11.2,False,False,False,True,False,True,False,False,False
83.3,84.8,183.0,108.4,4.6,0.4,28.8,False,False,False,True,False,False,True,False,False
92.0,92.7,175.0,122.6,1.8,0.8,16.0,False,False,False,True,False,False,False,False,False
75.8,79.8,172.0,148.5,2.3,0.7,38.8,False,False,False,True,False,True,False,False,False
77.2,75.9,206.0,83.8,2.1,0.4,10.4,False,True,False,False,True,False,False,False,False
82.4,85.0,166.0,90.1,3.1,0.2,14.4,False,False,False,True,False,False,False,True,False
89.6,91.5,177.0,107.1,3.7,3.2,12.4,False,False,False,True,False,False,True,False,False
88.7,86.1,182.0,66.3,3.9,0.2,12.4,False,True,False,False,True,False,False,False,False
74.7,77.3,193.0,114.8,2.1,0.9,36.0,False,False,False,True,False,True,False,False,False
78.8,81.3,175.0,50.4,2.3,1.7,47.2,True,False,False,False,False,False,True,False,False
85.6,83.5,177.0,63.8,4.2,0.7,9.2,False,True,False,False,True,False,False,False,False
84.2,83.6,200.0,107.2,1.8,1.0,37.2,False,False,True,False,True,False,False,False,False
73.6,78.8,181.0,94.4,3.7,5.3,9.2,False,False,True,False,False,False,False,True,False
78.3,81.1,175.0,51.4,0.5,4.1,11.6,True,False,False,False,False,True,False,False,False
78.6,78.0,185.0,72.9,3.1,3.7,48.8,False,True,False,False,True,False,False,False,False
64.2,67.1,181.0,98.8,1.5,0.7,22.8,False,False,False,True,False,False,True,False,False
79.3,78.6,179.0,52.9,3.6,0.4,11.2,True,False,False,False,True,False,False,False,False
81.6,85.5,196.0,131.7,1.9,1.5,33.2,False,False,False,True,False,False,True,False,False
80.2,83.2,191.0,73.5,2.8,0.4,4.8,False,True,False,False,False,False,False,True,False
86.9,91.0,183.0,63.3,1.0,4.9,35.2,False,True,False,False,False,False,True,False,False
76.3,78.2,172.0,76.0,2.1,2.4,34.4,False,False,True,False,False,False,True,False,False
79.5,77.3,189.0,128.9,4.5,1.0,21.6,False,False,False,True,True,False,False,False,False
75.6,78.7,201.0,68.3,2.3,0.7,28.0,True,False,False,False,False,False,False,True,False
95.8,98.5,188.0,105.9,0.8,4.6,32.0,False,False,True,False,True,False,False,False,False
78.5,79.3,191.0,61.8,4.5,3.9,36.4,True,False,False,False,False,True,False,False,False
65.3,72.4,166.0,125.2,1.4,1.7,31.6,False,False,False,True,False,False,False,True,False
77.0,80.8,170.0,94.3,1.1,1.6,18.0,False,False,False,True,False,False,False,True,False
72.1,77.8,168.0,112.1,0.7,0.3,40.0,False,False,False,True,False,False,False,True,False
92.2,91.1,166.0,64.2,2.7,2.2,23.6,False,True,False,False,True,False,False,False,False
71.9,75.0,199.0,136.9,1.5,4.2,15.6,False,False,False,True,False,False,True,False,False
72.8,79.3,179.0,68.2,2.9,4.0,14.8,False,True,False,False,False,False,False,True,False
73.1,76.3,194.0,70.6,1.4,0.5,46.4,False,True,False,False,False,False,False,True,False
73.5,75.3,199.0,105.8,2.8,2.9,31.2,False,False,True,False,False,True,False,False,False
69.6,68.2,186.0,79.3,2.4,0.4,20.4,False,True,False,False,True,False,False,False,False
85.8,87.7,192.0,91.2,2.6,2.0,37.2,False,True,False,False,False,True,False,False,False
62.8,64.2,174.0,101.9,1.8,5.1,16.4,False,False,False,True,True,False,False,False,False
75.6,75.3,180.0,84.3,3.4,1.0,14.4,False,False,True,False,False,True,False,False,False
72.3,74.0,178.0,68.4,1.4,2.4,22.4,False,True,False,False,False,True,False,False,False
78.8,80.7,172.0,138.2,4.3,4.3,19.2,False,False,False,True,False,True,False,False,False
78.2,81.8,187.0,57.9,2.9,0.3,16.8,True,False,False,False,False,False,False,False,True
77.2,81.8,181.0,118.6,2.4,4.4,14.0,False,False,False,True,False,False,True,False,False
78.7,81.7,184.0,79.0,2.3,2.9,22.4,False,True,False,False,False,False,True,False,False
77.8,80.1,175.0,110.0,3.1,0.8,41.6,False,False,False,True,False,False,True,False,False
79.2,81.7,181.0,94.4,1.6,2.4,34.8,False,False,True,False,False,True,False,False,False
87.2,86.5,170.0,83.6,1.3,2.8,10.0,False,False,True,False,True,False,False,False,False
91.9,96.3,186.0,83.9,1.1,0.5,30.4,False,True,False,False,False,False,False,True,False
83.8,83.1,171.0,103.5,4.5,5.6,16.4,False,False,False,True,True,False,False,False,False
68.1,73.1,169.0,79.1,3.1,5.2,26.4,False,False,True,False,False,False,False,True,False
81.6,78.8,187.0,69.9,4.4,5.2,12.4,False,True,False,False,True,False,False,False,False
81.2,82.2,189.0,90.3,3.4,0.6,32.0,False,False,True,False,False,False,True,False,False
90.8,91.3,181.0,88.0,1.5,1.1,44.8,False,False,True,False,True,False,False,False,False
71.5,75.9,176.0,89.2,2.4,0.6,44.8,False,False,True,False,False,False,False,True,False
76.8,81.8,181.0,156.3,1.2,5.6,12.4,False,False,False,True,False,True,False,False,False
79.1,80.2,187.0,66.5,1.2,2.1,23.6,False,True,False,False,True,False,False,False,False
71.5,74.9,211.0,113.0,2.5,1.5,36.0,False,False,True,False,False,False,False,True,False
95.4,94.7,187.0,57.8,3.7,3.1,31.2,True,False,False,False,True,False,False,False,False
69.1,72.2,207.0,113.0,1.5,5.4,25.2,False,False,True,False,False,False,True,False,False
85.6,84.1,195.0,68.6,2.0,1.1,8.8,True,False,False,False,True,False,False,False,False
76.9,81.0,185.0,67.7,2.7,0.7,33.6,False,True,False,False,False,False,False,True,False
92.2,91.9,164.0,75.0,3.0,3.9,12.8,False,False,True,False,True,False,False,False,False
86.3,89.4,164.0,121.6,1.9,3.7,25.6,False,False,False,True,False,True,False,False,False
83.5,83.8,199.0,99.2,2.3,1.1,33.6,False,False,True,False,True,False,False,False,False
77.0,80.3,187.0,105.6,2.0,0.2,12.4,False,False,False,True,False,False,True,False,False
69.4,75.3,187.0,110.9,1.7,0.4,14.4,False,False,False,True,False,False,False,False,True
73.1,72.3,175.0,69.4,4.1,3.2,24.8,False,True,False,False,False,False,True,False,False
84.3,84.2,183.0,88.8,2.2,1.9,30.4,False,False,True,False,True,False,False,False,False
93.2,94.1,196.0,128.7,2.7,0.5,30.4,False,False,False,True,True,False,False,False,False
71.5,72.5,192.0,89.3,4.5,0.8,14.0,False,True,False,False,False,False,False,True,False
92.6,96.6,187.0,108.0,2.6,3.9,32.0,False,False,False,True,False,False,False,True,False
76.2,78.2,184.0,124.3,1.1,0.5,7.2,False,False,False,True,False,True,False,False,False
71.5,76.5,172.0,53.4,1.0,0.8,12.0,True,False,False,False,False,False,False,True,False
72.9,74.3,186.0,61.3,2.2,1.4,16.0,True,False,False,False,False,True,False,False,False
82.0,85.7,155.0,105.7,1.9,3.5,12.8,False,False,False,True,False,True,False,False,False
79.3,81.1,191.0,84.0,0.9,4.2,31.2,False,True,False,False,False,True,False,False,False
61.2,67.4,169.0,108.0,1.5,5.2,6.4,False,False,False,True,False,False,True,False,False
85.0,86.7,184.0,103.9,3.6,2.5,32.8,False,False,False,True,False,True,False,False,False
78.9,81.2,202.0,117.1,1.9,1.7,13.6,False,False,True,False,False,False,True,False,False
75.9,78.7,185.0,65.8,2.8,0.1,25.2,False,True,False,False,False,False,False,True,False
81.6,88.0,180.0,72.4,2.1,0.8,27.6,False,True,False,False,False,False,False,True,False
80.8,84.6,172.0,88.8,1.4,5.7,33.2,False,False,False,True,False,True,False,False,False
80.2,80.5,186.0,53.6,1.7,0.8,33.6,True,False,False,False,True,False,False,False,False
79.0,82.0,191.0,127.9,3.2,3.5,10.0,False,False,False,True,False,False,False,True,False
78.7,80.2,177.0,97.7,2.3,0.6,22.0,False,False,False,True,False,True,False,False,False
75.7,77.6,197.0,89.7,1.3,4.4,28.4,False,True,False,False,True,False,False,False,False
78.5,81.3,156.0,76.6,0.5,5.3,20.8,False,False,False,True,True,False,False,False,False
76.7,75.8,189.0,95.3,2.8,4.9,15.2,False,False,True,False,True,False,False,False,False
78.3,81.5,196.0,77.4,2.6,0.1,18.0,False,True,False,False,False,False,False,True,False
68.2,66.8,186.0,96.4,2.8,5.1,20.0,False,False,True,False,True,False,False,False,False
85.3,91.7,177.0,113.5,2.1,3.6,12.4,False,False,False,True,False,False,False,False,True
77.0,81.7,189.0,115.7,0.2,2.1,30.0,False,False,False,True,False,False,True,False,False
71.5,72.3,205.0,74.4,1.2,1.1,35.2,True,False,False,False,True,False,False,False,False
76.6,75.2,196.0,54.5,3.1,4.3,34.8,True,False,False,False,True,False,False,False,False
97.6,101.6,164.0,92.7,2.6,1.3,11.6,False,False,False,True,False,False,False,True,False
84.3,83.9,203.0,93.5,3.3,0.0,36.8,False,True,False,False,False,True,False,False,False
97.6,100.5,173.0,97.4,1.8,1.0,22.8,False,False,False,True,False,False,False,True,False
67.7,69.1,192.0,114.4,1.1,2.8,21.6,False,False,False,True,True,False,False,False,False
78.3,82.6,183.0,101.2,3.6,0.4,24.8,False,False,False,True,False,False,False,True,False
73.8,75.1,168.0,87.5,2.0,1.9,36.0,False,False,False,True,True,False,False,False,False
88.3,91.9,200.0,91.2,1.3,3.7,16.4,False,True,False,False,False,True,False,False,False
87.9,90.3,166.0,131.6,2.2,3.4,9.2,False,False,False,True,True,False,False,False,False
78.5,81.9,182.0,54.6,0.4,1.0,13.2,True,False,False,False,False,False,True,False,False
81.0,84.8,180.0,143.5,0.8,4.6,16.8,False,False,False,True,True,False,False,False,False
96.5,97.1,199.0,114.7,3.1,2.2,25.6,False,False,True,False,False,True,False,False,False
78.9,86.7,199.0,75.0,1.1,5.4,15.2,False,True,False,False,False,False,False,True,False
76.2,78.7,187.0,58.4,2.1,1.4,31.6,True,False,False,False,False,False,True,False,False
87.9,90.8,187.0,88.0,1.0,4.3,18.0,False,False,True,False,False,True,False,False,False
64.3,66.4,181.0,92.1,1.1,4.4,16.8,False,False,True,False,True,False,False,False,False
74.5,80.1,161.0,114.1,2.8,1.1,34.4,False,False,False,True,False,False,False,True,False
80.6,81.6,179.0,57.6,1.7,0.4,22.8,True,False,False,False,False,True,False,False,False
78.6,83.0,211.0,65.4,1.1,0.4,20.8,True,False,False,False,False,False,False,True,False
71.8,73.0,171.0,112.1,2.1,0.1,40.4,False,False,False,True,True,False,False,False,False
75.9,75.2,198.0,85.1,3.8,0.3,22.8,False,True,False,False,False,False,False,True,False
78.5,80.1,191.0,98.5,4.0,0.2,27.2,False,False,True,False,False,False,True,False,False
70.6,74.8,180.0,112.0,1.8,1.6,13.2,False,False,False,True,False,False,False,True,False
97.9,98.0,188.0,95.2,3.7,0.7,16.0,False,False,True,False,False,False,True,False,False
77.9,77.9,179.0,98.8,2.1,4.3,15.2,False,False,False,True,True,False,False,False,False
62.1,67.9,170.0,71.7,2.9,0.5,22.4,False,True,False,False,False,False,False,False,True
89.0,91.1,200.0,97.0,2.3,5.5,37.6,False,True,False,False,False,True,False,False,False
81.7,81.6,172.0,77.5,4.9,3.2,34.8,False,False,True,False,False,False,False,True,False
80.4,83.4,191.0,84.4,3.3,2.9,25.6,False,True,False,False,False,False,False,False,True
79.8,79.0,187.0,50.4,2.1,0.4,13.2,True,False,False,False,True,False,False,False,False
83.8,85.8,179.0,141.5,5.3,2.2,15.6,False,False,False,True,False,False,True,False,False
74.5,74.5,166.0,67.9,2.7,4.4,11.2,False,True,False,False,True,False,False,False,False
71.6,75.4,170.0,90.9,3.9,0.5,38.8,False,False,False,True,False,False,False,True,False
90.0,91.0,190.0,139.4,1.7,0.7,38.0,False,False,False,True,True,False,False,False,False
75.9,76.8,205.0,110.6,4.1,4.6,27.2,False,False,True,False,False,False,True,False,False
78.5,83.5,175.0,115.7,1.7,5.0,21.6,False,False,False,True,False,False,True,False,False
88.8,92.5,180.0,63.7,1.9,0.8,16.8,False,True,False,False,False,False,False,True,False
78.5,81.8,173.0,95.5,0.4,1.2,37.2,False,False,False,True,False,False,False,True,False
