lifespan,mass,exercise,alcohol,sugar,bmi under,bmi over,bmi obese,bmi morbid,smoking few,smoking some,smoking more,smoking alot,smoking most
73.7,87.4,3.4,4.2,45.2,False,False,True,False,True,False,False,False,False
77.3,76.6,1.6,0.1,50.8,True,False,False,False,True,False,False,False,False
77.8,85.5,2.9,0.8,24.4,False,False,True,False,False,False,True,False,False
75.6,113.9,2.9,0.6,18.8,False,False,False,True,False,False,False,False,True
84.0,106.8,1.5,4.5,47.2,False,False,False,True,False,False,False,True,False
74.4,88.3,1.6,0.3,42.4,False,False,False,True,False,False,True,False,False
76.3,146.0,1.9,4.5,13.6,False,False,False,True,True,False,False,False,False
88.7,84.4,3.2,4.7,22.4,False,False,True,False,True,False,False,False,False
63.4,142.7,1.7,3.0,20.8,False,False,False,True,False,False,False,False,True
75.0,112.7,4.2,0.4,41.6,False,False,False,True,True,False,False,False,False
92.5,154.8,2.7,0.5,26.0,False,False,False,True,False,False,False,True,False
79.0,115.6,0.8,4.3,34.8,False,False,False,True,False,False,False,False,True
92.6,92.0,4.7,0.6,40.4,False,False,False,True,False,False,False,True,False
68.4,83.0,3.4,2.6,32.0,False,True,False,False,False,True,False,False,False
77.3,110.3,1.4,4.8,14.4,False,False,False,True,False,False,False,True,False
90.2,70.8,0.9,1.2,28.0,False,True,False,False,False,True,False,False,False
75.3,96.5,1.7,0.4,19.2,False,False,False,True,False,True,False,False,False
71.1,55.0,4.0,0.7,31.6,False,True,False,False,True,False,False,False,False
72.3,82.9,1.5,0.5,28.4,False,True,False,False,False,False,False,True,False
77.7,113.5,1.7,1.0,24.8,False,False,False,True,True,False,False,False,False
81.1,66.4,2.3,0.9,41.6,False,True,False,False,False,False,False,True,False
81.0,94.6,2.8,5.3,17.6,False,True,False,False,False,True,False,False,False
80.8,96.1,1.3,5.3,28.4,False,False,False,True,False,True,False,False,False
62.7,159.5,1.7,4.6,28.4,False,False,False,True,False,False,False,True,False
81.8,74.3,5.4,1.5,22.4,False,True,False,False,True,False,False,False,False
80.6,60.7,2.4,5.4,12.8,True,False,False,False,True,False,False,False,False
70.5,91.5,1.4,0.9,32.0,False,True,False,False,False,False,False,True,False
87.7,79.4,1.8,0.3,53.2,False,True,False,False,True,False,False,False,False
84.3,96.9,2.0,3.9,20.4,False,False,True,False,False,False,True,False,False
73.9,107.4,3.1,3.5,42.0,False,False,False,True,False,True,False,False,False
83.2,56.0,3.2,0.8,27.2,True,False,False,False,False,False,True,False,False
80.2,51.0,1.5,0.5,23.2,True,False,False,False,True,False,False,False,False
81.6,98.8,3.0,5.0,36.8,False,False,False,True,True,False,False,False,False
73.7,97.9,1.3,0.3,9.2,False,False,False,True,False,True,False,False,False
88.0,97.6,1.3,4.3,26.8,False,False,True,False,False,False,True,False,False
89.6,64.5,2.6,5.1,25.2,True,False,False,False,False,False,False,True,False
86.9,97.5,3.6,4.1,12.8,False,False,True,False,True,False,False,False,False
81.0,102.7,1.7,2.7,9.2,False,False,True,False,False,False,True,False,False
72.2,110.5,5.3,3.6,14.8,False,False,False,True,False,False,True,False,False
70.8,66.0,2.0,4.2,32.8,False,True,False,False,False,False,False,True,False
89.8,112.5,4.7,0.7,28.0,False,False,False,True,False,False,True,False,False
79.9,119.1,3.3,0.4,24.8,False,False,False,True,False,False,False,False,True
84.0,57.3,1.8,1.1,12.8,True,False,False,False,True,False,False,False,False
79.2,108.9,3.5,1.0,18.0,False,False,False,True,False,False,False,True,False
86.5,65.5,2.1,0.9,3.2,False,True,False,False,False,False,True,False,False
71.9,60.8,2.5,0.8,24.8,True,False,False,False,False,False,False,True,False
85.6,83.3,1.6,0.2,34.8,False,True,False,False,False,False,False,False,True
71.1,82.9,2.6,0.1,28.0,False,True,False,False,False,False,True,False,False
72.5,138.8,2.6,0.2,17.6,False,False,False,True,False,False,False,False,True
81.0,53.9,1.9,5.0,35.6,True,False,False,False,True,False,False,False,False
90.0,108.7,2.3,3.5,47.6,False,False,True,False,False,False,True,False,False
77.4,74.6,0.5,3.8,9.6,True,False,False,False,False,False,False,False,True
77.0,118.0,2.4,0.9,36.4,False,False,False,True,False,False,False,True,False
80.0,62.3,2.3,0.5,30.8,True,False,False,False,False,False,False,True,False
72.6,59.1,1.8,0.4,24.0,False,True,False,False,False,False,False,True,False
79.4,69.0,1.9,5.3,33.2,False,True,False,False,False,False,True,False,False
82.2,103.3,0.7,0.9,48.8,False,False,False,True,False,True,False,False,False
72.5,106.5,3.3,1.7,36.4,False,False,False,True,False,False,False,True,False
62.9,50.5,1.0,2.3,18.0,True,False,False,False,False,True,False,False,False
75.5,79.0,2.5,4.2,22.8,False,True,False,False,False,False,False,True,False
82.6,129.2,1.8,4.2,11.2,False,False,False,True,False,True,False,False,False
83.3,108.4,4.6,0.4,28.8,False,False,False,True,False,False,True,False,False
92.0,122.6,1.8,0.8,16.0,False,False,False,True,False,False,False,False,False
75.8,148.5,2.3,0.7,38.8,False,False,False,True,False,True,False,False,False
77.2,83.8,2.1,0.4,10.4,False,True,False,False,True,False,False,False,False
82.4,90.1,3.1,0.2,14.4,False,False,False,True,False,False,False,True,False
89.6,107.1,3.7,3.2,12.4,False,False,False,True,False,False,True,False,False
88.7,66.3,3.9,0.2,12.4,False,True,False,False,True,False,False,False,False
74.7,114.8,2.1,0.9,36.0,False,False,False,True,False,True,False,False,False
78.8,50.4,2.3,1.7,47.2,True,False,False,False,False,False,True,False,False
85.6,63.8,4.2,0.7,9.2,False,True,False,False,True,False,False,False,False
84.2,107.2,1.8,1.0,37.2,False,False,True,False,True,False,False,False,False
73.6,94.4,3.7,5.3,9.2,False,False,True,False,False,False,False,True,False
78.3,51.4,0.5,4.1,11.6,True,False,False,False,False,True,False,False,False
78.6,72.9,3.1,3.7,48.8,False,True,False,False,True,False,False,False,False
64.2,98.8,1.5,0.7,22.8,False,False,False,True,False,False,True,False,False
79.3,52.9,3.6,0.4,11.2,True,False,False,False,True,False,False,False,False
81.6,131.7,1.9,1.5,33.2,False,False,False,True,False,False,True,False,False
80.2,73.5,2.8,0.4,4.8,False,True,False,False,False,False,False,True,False
86.9,63.3,1.0,4.9,35.2,False,True,False,False,False,False,True,False,False
76.3,76.0,2.1,2.4,34.4,False,False,True,False,False,False,True,False,False
79.5,128.9,4.5,1.0,21.6,False,False,False,True,True,False,False,False,False
75.6,68.3,2.3,0.7,28.0,True,False,False,False,False,False,False,True,False
95.8,105.9,0.8,4.6,32.0,False,False,True,False,True,False,False,False,False
78.5,61.8,4.5,3.9,36.4,True,False,False,False,False,True,False,False,False
65.3,125.2,1.4,1.7,31.6,False,False,False,True,False,False,False,True,False
77.0,94.3,1.1,1.6,18.0,False,False,False,True,False,False,False,True,False
72.1,112.1,0.7,0.3,40.0,False,False,False,True,False,False,False,True,False
92.2,64.2,2.7,2.2,23.6,False,True,False,False,True,False,False,False,False
71.9,136.9,1.5,4.2,15.6,False,False,False,True,False,False,True,False,False
72.8,68.2,2.9,4.0,14.8,False,True,False,False,False,False,False,True,False
73.1,70.6,1.4,0.5,46.4,False,True,False,False,False,False,False,True,False
73.5,105.8,2.8,2.9,31.2,False,False,True,False,False,True,False,False,False
69.6,79.3,2.4,0.4,20.4,False,True,False,False,True,False,False,False,False
85.8,91.2,2.6,2.0,37.2,False,True,False,False,False,True,False,False,False
62.8,101.9,1.8,5.1,16.4,False,False,False,True,True,False,False,False,False
75.6,84.3,3.4,1.0,14.4,False,False,True,False,False,True,False,False,False
72.3,68.4,1.4,2.4,22.4,False,True,False,False,False,True,False,False,False
78.8,138.2,4.3,4.3,19.2,False,False,False,True,False,True,False,False,False
78.2,57.9,2.9,0.3,16.8,True,False,False,False,False,False,False,False,True
77.2,118.6,2.4,4.4,14.0,False,False,False,True,False,False,True,False,False
78.7,79.0,2.3,2.9,22.4,False,True,False,False,False,False,True,False,False
77.8,110.0,3.1,0.8,41.6,False,False,False,True,False,False,True,False,False
79.2,94.4,1.6,2.4,34.8,False,False,True,False,False,True,False,False,False
87.2,83.6,1.3,2.8,10.0,False,False,True,False,True,False,False,False,False
91.9,83.9,1.1,0.5,30.4,False,True,False,False,False,False,False,True,False
83.8,103.5,4.5,5.6,16.4,False,False,False,True,True,False,False,False,False
68.1,79.1,3.1,5.2,26.4,False,False,True,False,False,False,False,True,False
81.6,69.9,4.4,5.2,12.4,False,True,False,False,True,False,False,False,False
81.2,90.3,3.4,0.6,32.0,False,False,True,False,False,False,True,False,False
90.8,88.0,1.5,1.1,44.8,False,False,True,False,True,False,False,False,False
71.5,89.2,2.4,0.6,44.8,False,False,True,False,False,False,False,True,False
76.8,156.3,1.2,5.6,12.4,False,False,False,True,False,True,False,False,False
79.1,66.5,1.2,2.1,23.6,False,True,False,False,True,False,False,False,False
71.5,113.0,2.5,1.5,36.0,False,False,True,False,False,False,False,True,False
95.4,57.8,3.7,3.1,31.2,True,False,False,False,True,False,False,False,False
69.1,113.0,1.5,5.4,25.2,False,False,True,False,False,False,True,False,False
85.6,68.6,2.0,1.1,8.8,True,False,False,False,True,False,False,False,False
76.9,67.7,2.7,0.7,33.6,False,True,False,False,False,False,False,True,False
92.2,75.0,3.0,3.9,12.8,False,False,True,False,True,False,False,False,False
86.3,121.6,1.9,3.7,25.6,False,False,False,True,False,True,False,False,False
83.5,99.2,2.3,1.1,33.6,False,False,True,False,True,False,False,False,False
77.0,105.6,2.0,0.2,12.4,False,False,False,True,False,False,True,False,False
69.4,110.9,1.7,0.4,14.4,False,False,False,True,False,False,False,False,True
73.1,69.4,4.1,3.2,24.8,False,True,False,False,False,False,True,False,False
84.3,88.8,2.2,1.9,30.4,False,False,True,False,True,False,False,False,False
93.2,128.7,2.7,0.5,30.4,False,False,False,True,True,False,False,False,False
71.5,89.3,4.5,0.8,14.0,False,True,False,False,False,False,False,True,False
92.6,108.0,2.6,3.9,32.0,False,False,False,True,False,False,False,True,False
76.2,124.3,1.1,0.5,7.2,False,False,False,True,False,True,False,False,False
71.5,53.4,1.0,0.8,12.0,True,False,False,False,False,False,False,True,False
72.9,61.3,2.2,1.4,16.0,True,False,False,False,False,True,False,False,False
82.0,105.7,1.9,3.5,12.8,False,False,False,True,False,True,False,False,False
79.3,84.0,0.9,4.2,31.2,False,True,False,False,False,True,False,False,False
61.2,108.0,1.5,5.2,6.4,False,False,False,True,False,False,True,False,False
85.0,103.9,3.6,2.5,32.8,False,False,False,True,False,True,False,False,False
78.9,117.1,1.9,1.7,13.6,False,False,True,False,False,False,True,False,False
75.9,65.8,2.8,0.1,25.2,False,True,False,False,False,False,False,True,False
81.6,72.4,2.1,0.8,27.6,False,True,False,False,False,False,False,True,False
80.8,88.8,1.4,5.7,33.2,False,False,False,True,False,True,False,False,False
80.2,53.6,1.7,0.8,33.6,True,False,False,False,True,False,False,False,False
79.0,127.9,3.2,3.5,10.0,False,False,False,True,False,False,False,True,False
78.7,97.7,2.3,0.6,22.0,False,False,False,True,False,True,False,False,False
75.7,89.7,1.3,4.4,28.4,False,True,False,False,True,False,False,False,False
78.5,76.6,0.5,5.3,20.8,False,False,False,True,True,False,False,False,False
76.7,95.3,2.8,4.9,15.2,False,False,True,False,True,False,False,False,False
78.3,77.4,2.6,0.1,18.0,False,True,False,False,False,False,False,True,False
68.2,96.4,2.8,5.1,20.0,False,False,True,False,True,False,False,False,False
85.3,113.5,2.1,3.6,12.4,False,False,False,True,False,False,False,False,True
77.0,115.7,0.2,2.1,30.0,False,False,False,True,False,False,True,False,False
71.5,74.4,1.2,1.1,35.2,True,False,False,False,True,False,False,False,False
76.6,54.5,3.1,4.3,34.8,True,False,False,False,True,False,False,False,False
97.6,92.7,2.6,1.3,11.6,False,False,False,True,False,False,False,True,False
84.3,93.5,3.3,0.0,36.8,False,True,False,False,False,True,False,False,False
97.6,97.4,1.8,1.0,22.8,False,False,False,True,False,False,False,True,False
67.7,114.4,1.1,2.8,21.6,False,False,False,True,True,False,False,False,False
78.3,101.2,3.6,0.4,24.8,False,False,False,True,False,False,False,True,False
73.8,87.5,2.0,1.9,36.0,False,False,False,True,True,False,False,False,False
88.3,91.2,1.3,3.7,16.4,False,True,False,False,False,True,False,False,False
87.9,131.6,2.2,3.4,9.2,False,False,False,True,True,False,False,False,False
78.5,54.6,0.4,1.0,13.2,True,False,False,False,False,False,True,False,False
81.0,143.5,0.8,4.6,16.8,False,False,False,True,True,False,False,False,False
96.5,114.7,3.1,2.2,25.6,False,False,True,False,False,True,False,False,False
78.9,75.0,1.1,5.4,15.2,False,True,False,False,False,False,False,True,False
76.2,58.4,2.1,1.4,31.6,True,False,False,False,False,False,True,False,False
87.9,88.0,1.0,4.3,18.0,False,False,True,False,False,True,False,False,False
64.3,92.1,1.1,4.4,16.8,False,False,True,False,True,False,False,False,False
74.5,114.1,2.8,1.1,34.4,False,False,False,True,False,False,False,True,False
80.6,57.6,1.7,0.4,22.8,True,False,False,False,False,True,False,False,False
78.6,65.4,1.1,0.4,20.8,True,False,False,False,False,False,False,True,False
71.8,112.1,2.1,0.1,40.4,False,False,False,True,True,False,False,False,False
75.9,85.1,3.8,0.3,22.8,False,True,False,False,False,False,False,True,False
78.5,98.5,4.0,0.2,27.2,False,False,True,False,False,False,True,False,False
70.6,112.0,1.8,1.6,13.2,False,False,False,True,False,False,False,True,False
97.9,95.2,3.7,0.7,16.0,False,False,True,False,False,False,True,False,False
77.9,98.8,2.1,4.3,15.2,False,False,False,True,True,False,False,False,False
62.1,71.7,2.9,0.5,22.4,False,True,False,False,False,False,False,False,True
89.0,97.0,2.3,5.5,37.6,False,True,False,False,False,True,False,False,False
81.7,77.5,4.9,3.2,34.8,False,False,True,False,False,False,False,True,False
80.4,84.4,3.3,2.9,25.6,False,True,False,False,False,False,False,False,True
79.8,50.4,2.1,0.4,13.2,True,False,False,False,True,False,False,False,False
83.8,141.5,5.3,2.2,15.6,False,False,False,True,False,False,True,False,False
74.5,67.9,2.7,4.4,11.2,False,True,False,False,True,False,False,False,False
71.6,90.9,3.9,0.5,38.8,False,False,False,True,False,False,False,True,False
90.0,139.4,1.7,0.7,38.0,False,False,False,True,True,False,False,False,False
75.9,110.6,4.1,4.6,27.2,False,False,True,False,False,False,True,False,False
78.5,115.7,1.7,5.0,21.6,False,False,False,True,False,False,True,False,False
88.8,63.7,1.9,0.8,16.8,False,True,False,False,False,False,False,True,False
78.5,95.5,0.4,1.2,37.2,False,False,False,True,False,False,False,True,False
93.2,86.0,0.9,0.6,24.0,False,False,True,False,False,False,True,False,False
81.8,77.3,4.1,4.7,10.4,False,True,False,False,False,False,True,False,False
71.6,114.2,1.0,0.3,15.2,False,False,False,True,False,True,False,False,False
72.7,67.1,1.2,2.1,16.4,False,True,False,False,False,False,False,True,False
93.4,106.8,3.3,0.2,20.0,False,False,True,False,True,False,False,False,False
77.5,84.7,2.1,4.7,24.0,False,False,True,False,False,False,False,True,False
90.8,76.4,3.3,1.5,16.0,False,False,True,False,False,True,False,False,False
85.0,64.7,3.4,2.2,18.4,True,False,False,False,True,False,False,False,False
87.2,82.8,2.7,4.8,40.4,False,False,True,False,False,False,True,False,False
72.8,84.4,1.7,5.2,8.0,False,False,True,False,True,False,False,False,False
72.3,87.8,1.6,0.8,39.2,False,False,True,False,True,False,False,False,False
85.6,87.5,1.1,3.6,8.0,False,False,True,False,False,True,False,False,False
74.0,83.7,3.2,0.5,40.0,False,True,False,False,True,False,False,False,False
87.9,90.6,1.9,5.0,43.2,False,False,True,False,False,False,True,False,False
86.5,57.3,1.9,4.1,18.4,True,False,False,False,True,False,False,False,False
87.1,102.1,3.5,1.3,34.8,False,False,True,False,False,False,False,True,False
81.6,63.2,5.3,5.0,9.6,True,False,False,False,False,False,True,False,False
76.5,97.5,3.9,0.9,38.0,False,True,False,False,False,False,False,True,False
89.0,53.2,2.6,0.6,29.6,True,False,False,False,False,False,True,False,False
81.0,121.5,3.0,5.6,36.0,False,False,False,True,True,False,False,False,False
75.3,50.9,3.7,1.0,37.6,True,False,False,False,False,True,False,False,False
80.2,161.9,2.4,5.7,33.2,False,False,False,True,True,False,False,False,False
89.9,69.9,2.4,2.1,14.8,False,True,False,False,True,False,False,False,False
101.6,77.5,1.3,3.5,25.2,True,False,False,False,False,True,False,False,False
81.4,61.6,1.4,0.7,10.4,True,False,False,False,False,True,False,False,False
78.9,105.3,5.2,0.3,16.0,False,False,True,False,False,False,False,False,True
66.9,77.1,3.2,3.2,42.8,False,True,False,False,True,False,False,False,False
88.1,73.9,4.2,0.4,27.6,False,True,False,False,False,True,False,False,False
84.1,128.7,3.6,1.9,54.4,False,False,False,True,False,False,False,True,False
92.6,124.8,3.6,2.4,24.4,False,False,False,True,True,False,False,False,False
75.9,132.3,2.8,4.5,19.2,False,False,False,True,False,False,True,False,False
81.0,63.0,3.4,3.5,37.2,False,True,False,False,True,False,False,False,False
86.8,50.9,1.8,0.3,10.8,True,False,False,False,False,False,False,True,False
84.1,85.9,2.8,0.7,37.2,False,True,False,False,True,False,False,False,False
84.2,80.6,1.9,3.9,28.4,False,False,True,False,True,False,False,False,False
78.2,106.8,0.7,1.3,23.2,False,False,True,False,True,False,False,False,False
84.5,145.3,2.6,2.0,46.4,False,False,False,True,False,False,True,False,False
69.9,139.8,0.2,2.8,33.6,False,False,False,True,False,False,True,False,False
92.4,87.6,0.8,0.3,17.6,False,False,True,False,True,False,False,False,False
72.3,97.7,2.3,1.2,10.8,False,False,True,False,False,True,False,False,False
76.0,75.8,0.5,1.3,15.2,False,True,False,False,True,False,False,False,False
78.4,96.4,1.6,1.2,31.2,False,False,False,True,False,False,False,True,False
91.7,124.2,0.6,0.4,8.4,False,False,True,False,True,False,False,False,False
79.6,82.7,5.1,0.4,11.2,False,True,False,False,False,False,True,False,False
87.7,101.2,5.4,1.3,9.2,False,False,True,False,True,False,False,False,False
84.2,116.9,3.7,1.1,25.6,False,False,False,True,False,False,False,True,False
86.4,84.6,1.6,0.4,12.0,False,True,False,False,True,False,False,False,False
91.8,95.4,3.6,0.4,26.4,False,False,False,True,False,False,True,False,False
81.7,68.2,1.4,0.5,8.0,False,True,False,False,False,True,False,False,False
71.1,50.8,4.0,4.4,14.8,True,False,False,False,False,False,True,False,False
84.0,132.2,1.7,0.3,7.2,False,False,False,True,False,False,False,True,False
89.2,61.5,4.2,4.0,22.0,False,True,False,False,False,False,False,True,False
83.6,122.1,1.0,4.7,16.8,False,False,False,True,False,True,False,False,False
75.7,115.0,2.6,1.2,30.8,False,False,False,True,False,False,False,True,False
71.7,83.5,4.7,3.0,34.8,False,True,False,False,False,False,False,False,True
72.1,80.5,2.8,0.6,21.2,False,True,False,False,True,False,False,False,False
74.3,51.6,4.8,5.2,28.4,True,False,False,False,False,False,False,True,False
73.3,123.3,3.5,1.5,12.4,False,False,False,True,False,False,False,False,True
84.0,91.8,0.5,0.4,15.2,False,False,True,False,False,False,False,False,False
82.9,52.9,2.1,4.3,34.0,True,False,False,False,False,True,False,False,False
72.4,78.0,2.1,2.3,42.8,False,True,False,False,False,False,False,False,True
76.3,89.5,3.4,0.9,43.2,False,False,True,False,False,False,False,True,False
73.6,65.3,3.5,3.9,39.6,True,False,False,False,False,False,False,False,True
