dif_lifespan,mass,exercise,smoking,alcohol,sugar
-4.400000000000006,89.2,2.4,17.6,0.6,44.8
-5.0,156.3,1.2,9.4,5.6,12.4
-1.1000000000000085,66.5,1.2,4.5,2.1,23.6
-3.4000000000000057,113.0,2.5,19.3,1.5,36.0
0.7000000000000028,57.8,3.7,3.3,3.1,31.2
-3.1000000000000085,113.0,1.5,10.6,5.4,25.2
1.5,68.6,2.0,0.2,1.1,8.8
-4.099999999999994,67.7,2.7,19.8,0.7,33.6
0.29999999999999716,75.0,3.0,2.4,3.9,12.8
-3.1000000000000085,121.6,1.9,5.1,3.7,25.6
-0.29999999999999716,99.2,2.3,4.3,1.1,33.6
-3.299999999999997,105.6,2.0,13.0,0.2,12.4
-5.8999999999999915,110.9,1.7,20.7,0.4,14.4
0.7999999999999972,69.4,4.1,12.0,3.2,24.8
0.09999999999999432,88.8,2.2,0.5,1.9,30.4
-0.8999999999999915,128.7,2.7,4.5,0.5,30.4
-1.0,89.3,4.5,17.1,0.8,14.0
-4.0,108.0,2.6,16.9,3.9,32.0
-2.0,124.3,1.1,5.9,0.5,7.2
-5.0,53.4,1.0,17.5,0.8,12.0
-1.3999999999999915,61.3,2.2,9.7,1.4,16.0
-3.700000000000003,105.7,1.9,9.0,3.5,12.8
-1.7999999999999972,84.0,0.9,7.4,4.2,31.2
-6.200000000000003,108.0,1.5,10.2,5.2,6.4
-1.7000000000000028,103.9,3.6,6.6,2.5,32.8
-2.299999999999997,117.1,1.9,11.2,1.7,13.6
-2.799999999999997,65.8,2.8,17.7,0.1,25.2
-6.400000000000006,72.4,2.1,19.8,0.8,27.6
-3.799999999999997,88.8,1.4,6.9,5.7,33.2
-0.29999999999999716,53.6,1.7,2.2,0.8,33.6
-3.0,127.9,3.2,16.6,3.5,10.0
-1.5,97.7,2.3,7.5,0.6,22.0
-1.8999999999999915,89.7,1.3,3.8,4.4,28.4
-2.799999999999997,76.6,0.5,2.4,5.3,20.8
0.9000000000000057,95.3,2.8,2.0,4.9,15.2
-3.200000000000003,77.4,2.6,18.1,0.1,18.0
1.4000000000000057,96.4,2.8,1.5,5.1,20.0
-6.400000000000006,113.5,2.1,22.1,3.6,12.4
-4.700000000000003,115.7,0.2,14.6,2.1,30.0
-0.7999999999999972,74.4,1.2,4.3,1.1,35.2
1.3999999999999915,54.5,3.1,2.5,4.3,34.8
-4.0,92.7,2.6,18.5,1.3,11.6
0.3999999999999915,93.5,3.3,6.8,0.0,36.8
-2.9000000000000057,97.4,1.8,16.0,1.0,22.8
-1.3999999999999915,114.4,1.1,2.1,2.8,21.6
-4.299999999999997,101.2,3.6,19.9,0.4,24.8
-1.2999999999999972,87.5,2.0,4.5,1.9,36.0
-3.6000000000000085,91.2,1.3,7.9,3.7,16.4
-2.3999999999999915,131.6,2.2,2.0,3.4,9.2
-3.4000000000000057,54.6,0.4,11.7,1.0,13.2
-3.799999999999997,143.5,0.8,4.4,4.6,16.8
-0.5999999999999943,114.7,3.1,7.8,2.2,25.6
-7.799999999999997,75.0,1.1,17.4,5.4,15.2
-2.5,58.4,2.1,14.2,1.4,31.6
-2.8999999999999915,88.0,1.0,5.2,4.3,18.0
-2.1000000000000085,92.1,1.1,4.5,4.4,16.8
-5.599999999999994,114.1,2.8,19.0,1.1,34.4
-1.0,57.6,1.7,9.4,0.4,22.8
-4.400000000000006,65.4,1.1,17.7,0.4,20.8
-1.2000000000000028,112.1,2.1,3.8,0.1,40.4
0.7000000000000028,85.1,3.8,17.6,0.3,22.8
-1.5999999999999943,98.5,4.0,12.9,0.2,27.2
-4.200000000000003,112.0,1.8,16.6,1.6,13.2
-0.09999999999999432,95.2,3.7,12.7,0.7,16.0
0.0,98.8,2.1,4.0,4.3,15.2
-5.800000000000004,71.7,2.9,20.6,0.5,22.4
-2.0999999999999943,97.0,2.3,6.4,5.5,37.6
0.10000000000000853,77.5,4.9,18.2,3.2,34.8
-3.0,84.4,3.3,21.6,2.9,25.6
0.7999999999999972,50.4,2.1,1.1,0.4,13.2
-2.0,141.5,5.3,14.7,2.2,15.6
0.0,67.9,2.7,4.5,4.4,11.2
-3.8000000000000114,90.9,3.9,19.5,0.5,38.8
-1.0,139.4,1.7,0.5,0.7,38.0
-0.8999999999999915,110.6,4.1,12.2,4.6,27.2
-5.0,115.7,1.7,14.4,5.0,21.6
-3.700000000000003,63.7,1.9,18.8,0.8,16.8
-3.299999999999997,95.5,0.4,17.6,1.2,37.2
-2.200000000000003,86.0,0.9,10.5,0.6,24.0
-2.1000000000000085,77.3,4.1,14.4,4.7,10.4
-3.5,114.2,1.0,5.3,0.3,15.2
-6.700000000000003,67.1,1.2,16.2,2.1,16.4
0.7000000000000028,106.8,3.3,2.8,0.2,20.0
-5.299999999999997,84.7,2.1,17.5,4.7,24.0
0.0,76.4,3.3,6.7,1.5,16.0
1.5,64.7,3.4,0.7,2.2,18.4
-2.3999999999999915,82.8,2.7,10.6,4.8,40.4
-1.5,84.4,1.7,4.3,5.2,8.0
-0.4000000000000057,87.8,1.6,2.4,0.8,39.2
-1.5,87.5,1.1,8.3,3.6,8.0
1.5999999999999943,83.7,3.2,0.9,0.5,40.0
-6.3999999999999915,90.6,1.9,14.8,5.0,43.2
-0.09999999999999432,57.3,1.9,3.1,4.1,18.4
-2.5,102.1,3.5,16.7,1.3,34.8
-2.200000000000003,63.2,5.3,14.9,5.0,9.6
-2.5999999999999943,97.5,3.9,16.2,0.9,38.0
-0.7999999999999972,53.2,2.6,14.0,0.6,29.6
-2.799999999999997,121.5,3.0,1.4,5.6,36.0
-1.2000000000000028,50.9,3.7,9.5,1.0,37.6
-2.799999999999997,161.9,2.4,4.9,5.7,33.2
1.6000000000000085,69.9,2.4,0.3,2.1,14.8
-0.6000000000000085,77.5,1.3,5.1,3.5,25.2
-1.5,61.6,1.4,6.2,0.7,10.4
-1.6999999999999886,105.3,5.2,20.2,0.3,16.0
-1.2999999999999972,77.1,3.2,3.9,3.2,42.8
0.09999999999999432,73.9,4.2,9.5,0.4,27.6
-4.400000000000006,128.7,3.6,17.4,1.9,54.4
-0.7000000000000028,124.8,3.6,0.7,2.4,24.4
-2.5,132.3,2.8,13.3,4.5,19.2
2.0999999999999943,63.0,3.4,0.9,3.5,37.2
-4.6000000000000085,50.9,1.8,18.5,0.3,10.8
1.3999999999999915,85.9,2.8,0.4,0.7,37.2
-0.20000000000000284,80.6,1.9,2.6,3.9,28.4
-1.2999999999999972,106.8,0.7,2.7,1.3,23.2
-4.700000000000003,145.3,2.6,14.2,2.0,46.4
-6.199999999999989,139.8,0.2,12.7,2.8,33.6
-0.5999999999999943,87.6,0.8,3.2,0.3,17.6
-0.7999999999999972,97.7,2.3,5.8,1.2,10.8
-1.2000000000000028,75.8,0.5,4.7,1.3,15.2
-4.799999999999997,96.4,1.6,17.6,1.2,31.2
-1.3999999999999915,124.2,0.6,4.4,0.4,8.4
1.2999999999999972,82.7,5.1,14.9,0.4,11.2
3.700000000000003,101.2,5.4,4.3,1.3,9.2
-2.5999999999999943,116.9,3.7,18.0,1.1,25.6
0.10000000000000853,84.6,1.6,2.9,0.4,12.0
-1.2000000000000028,95.4,3.6,15.0,0.4,26.4
-0.7000000000000028,68.2,1.4,7.7,0.5,8.0
-3.4000000000000057,50.8,4.0,14.0,4.4,14.8
-3.0999999999999943,132.2,1.7,15.3,0.3,7.2
-2.200000000000003,61.5,4.2,18.0,4.0,22.0
-3.6000000000000085,122.1,1.0,7.7,4.7,16.8
-4.599999999999994,115.0,2.6,16.7,1.2,30.8
-1.0,83.5,4.7,21.7,3.0,34.8
2.3999999999999915,80.5,2.8,0.2,0.6,21.2
-0.9000000000000057,51.6,4.8,16.4,5.2,28.4
-4.0,123.3,3.5,21.5,1.5,12.4
-0.20000000000000284,91.8,0.5,0.0,0.4,15.2
-2.0999999999999943,52.9,2.1,8.4,4.3,34.0
-5.3999999999999915,78.0,2.1,20.3,2.3,42.8
-2.9000000000000057,89.5,3.4,17.2,0.9,43.2
-3.3000000000000114,65.3,3.5,20.1,3.9,39.6
-2.0,81.2,0.5,2.9,4.0,54.0
-4.6000000000000085,133.1,3.7,18.9,5.6,14.0
2.5999999999999943,118.8,3.4,0.4,0.3,22.0
-1.2000000000000028,126.1,0.5,4.2,3.4,15.6
-3.5,92.8,2.1,21.8,4.1,23.2
-3.4000000000000057,87.5,5.4,16.5,5.0,32.8
-1.7000000000000028,126.4,3.2,6.1,0.4,38.0
0.10000000000000853,122.6,2.8,16.1,0.7,16.4
1.2000000000000028,77.8,3.9,10.4,2.2,10.0
-5.700000000000003,60.4,3.4,20.0,3.3,30.0
0.10000000000000853,83.3,4.1,6.1,5.4,30.4
-2.4000000000000057,134.1,1.7,8.0,1.0,8.4
-2.6000000000000085,82.1,2.3,12.3,0.4,18.0
-5.6000000000000085,84.0,1.8,17.8,2.2,55.2
-2.700000000000003,140.8,2.6,6.2,4.8,8.4
-2.799999999999997,73.2,4.6,20.1,0.4,14.0
1.2999999999999972,68.2,4.0,0.2,0.8,35.2
-2.9000000000000057,99.3,1.1,4.2,5.1,23.2
-5.200000000000003,73.9,1.3,18.8,0.6,4.4
0.3999999999999915,88.3,1.7,6.3,0.6,44.0
-2.200000000000003,124.1,3.5,13.0,0.6,23.6
-0.5,75.9,1.3,3.8,0.2,27.2
-5.200000000000003,84.4,3.4,17.2,5.3,22.0
0.30000000000001137,61.6,2.5,4.5,0.6,19.6
0.6000000000000085,50.9,2.0,1.4,0.6,20.8
-0.7999999999999972,121.3,0.8,0.9,0.6,24.0
1.2000000000000028,62.8,3.3,8.4,1.2,13.6
-6.700000000000003,132.2,4.5,13.8,0.3,25.6
-0.7999999999999972,97.8,2.5,4.5,4.3,29.2
-4.5,88.3,2.0,20.7,0.5,30.4
-0.9000000000000057,94.3,3.9,9.8,4.3,26.8
-0.19999999999998863,83.7,2.0,0.1,3.7,16.4
0.7999999999999972,77.6,2.6,0.2,1.3,18.4
-0.4000000000000057,127.4,5.3,11.8,0.7,28.4
1.2000000000000028,72.2,2.9,2.3,0.9,23.2
-0.5,109.1,2.8,2.6,3.6,36.0
-9.0,119.1,0.2,19.1,4.8,24.4
0.20000000000000284,106.8,1.8,0.2,3.5,10.4
-1.6000000000000085,104.5,1.6,17.3,3.4,34.4
-3.0999999999999943,89.4,3.8,16.3,1.9,23.6
0.3999999999999915,91.5,1.4,0.8,0.9,10.4
-4.799999999999997,116.4,2.7,18.9,2.0,16.8
-4.299999999999997,133.4,1.6,19.4,3.7,16.8
-0.7000000000000028,97.3,0.7,3.9,0.3,32.8
1.0,127.4,3.2,0.2,0.2,14.8
-1.2999999999999972,91.1,1.8,9.4,4.2,24.8
-3.799999999999997,96.3,0.1,10.5,4.6,32.4
-1.0,96.2,2.8,17.4,0.3,20.4
1.2000000000000028,62.4,2.3,1.4,0.6,17.6
1.5,95.7,4.8,0.8,0.7,28.0
-0.3999999999999915,82.7,1.8,0.1,4.8,33.6
-3.8999999999999915,67.2,1.9,13.1,3.8,4.4
0.3999999999999915,86.6,2.4,1.6,5.9,21.6
-1.0,99.4,1.5,0.1,5.2,29.6
-4.400000000000006,85.8,3.2,18.2,0.1,15.2
-1.7000000000000028,52.4,2.2,11.4,0.5,35.6
-5.800000000000011,82.6,1.3,17.4,0.7,25.6
-0.8000000000000114,109.3,1.4,2.0,1.0,18.0
-0.10000000000000853,86.6,3.2,8.6,0.2,14.4
-0.7999999999999972,76.9,3.4,6.5,4.8,17.6
-1.7999999999999972,126.5,1.5,1.5,1.9,28.8
0.09999999999999432,67.0,2.1,1.6,2.1,26.8
-3.0,75.2,1.8,6.1,4.5,21.6
-2.0,84.0,1.6,6.8,4.0,41.6
-4.699999999999989,95.7,1.8,16.6,2.6,17.2
1.2999999999999972,114.6,4.6,17.1,0.9,32.8
0.19999999999998863,63.6,3.8,5.5,0.7,40.8
-2.200000000000003,144.0,1.1,5.0,0.5,23.6
-1.2999999999999972,102.9,2.9,10.4,0.5,22.8
-4.5,69.3,2.3,17.1,1.6,42.0
-1.0,51.6,1.0,4.4,0.1,14.0
-7.1000000000000085,77.9,3.1,17.0,4.6,10.4
-3.3999999999999915,111.8,2.6,22.1,1.8,17.2
2.200000000000003,91.6,4.5,0.3,4.2,51.6
-2.5999999999999943,100.6,2.5,15.2,1.2,10.8
-5.700000000000003,119.6,2.4,15.4,0.8,26.4
-3.1000000000000085,71.2,2.2,16.9,4.7,44.0
-4.299999999999997,79.9,3.7,15.6,1.2,33.6
-5.700000000000003,145.8,1.7,9.7,0.6,28.4
-0.20000000000000284,93.1,1.4,1.7,1.7,16.8
-3.3000000000000114,99.4,1.8,12.5,4.2,20.8
0.6000000000000085,108.1,1.7,1.0,0.6,36.0
-2.700000000000003,106.9,2.0,10.7,1.0,45.2
-2.6000000000000085,91.6,1.7,7.7,2.8,19.2
-5.299999999999997,84.8,0.2,16.9,4.2,25.6
-4.400000000000006,58.5,1.5,21.7,0.1,13.6
-3.8000000000000043,70.6,1.5,13.8,5.9,28.0
-5.799999999999997,98.2,1.7,14.3,4.0,38.8
-0.29999999999999716,107.4,1.4,0.1,0.8,25.6
1.4000000000000057,57.3,4.5,0.1,4.0,50.4
-3.200000000000003,56.7,1.2,16.1,1.4,44.8
0.6999999999999886,90.1,1.9,0.2,0.7,6.8
-1.9000000000000057,123.7,2.1,2.8,1.2,6.4
-6.200000000000003,115.3,1.7,21.1,5.2,14.8
-3.5999999999999943,94.4,0.5,14.3,3.2,14.0
3.0,90.3,4.2,6.9,2.4,38.0
-2.700000000000003,84.4,3.4,19.7,0.4,33.6
-0.5999999999999943,71.2,1.8,0.0,5.1,37.6
-0.7999999999999972,94.5,1.7,0.6,4.7,26.0
-1.5,70.2,3.2,11.8,0.6,9.6
-3.3999999999999915,153.4,2.7,1.1,1.5,33.6
-0.5999999999999943,64.9,1.3,0.1,3.8,34.4
-2.5999999999999943,111.3,1.5,18.6,0.8,5.2
0.7999999999999972,132.3,2.5,0.2,3.7,3.6
-6.900000000000006,63.7,3.2,20.8,0.1,21.2
1.5,73.7,2.2,3.0,0.5,26.8
-0.5,59.1,2.2,5.8,0.9,24.8
-3.200000000000003,65.7,1.3,13.7,0.6,16.4
0.30000000000001137,118.8,3.9,4.0,0.8,36.0
2.0,70.4,2.8,1.4,0.2,18.0
-4.700000000000003,52.2,1.1,21.6,1.4,28.0
-1.0,119.8,2.0,0.8,0.4,27.2
-0.3999999999999915,66.3,3.4,7.7,0.8,26.0
-5.5,105.1,2.0,21.1,0.7,25.6
2.3000000000000114,118.1,4.3,4.4,1.8,15.2
-0.09999999999999432,78.4,1.5,0.4,1.9,20.8
-2.700000000000003,81.1,2.3,17.2,0.3,21.2
-2.5999999999999943,65.2,1.7,17.8,0.4,29.2
-1.0,90.3,1.1,2.3,0.5,27.2
-1.7000000000000028,101.1,1.8,5.3,2.2,23.2
1.5999999999999943,105.4,4.7,15.5,0.2,15.2
2.4000000000000057,94.1,3.0,1.0,2.3,5.2
-2.700000000000003,98.4,0.7,9.1,0.8,42.0
